#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_50.0_5.0_0.99_1.0_0.1.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.970237e-01 1.254857e+03 1.002680e+00 1.697990e+06 1.351217e+02 1.564001e-01 3.814327e+00 1.985622e-04 4.752488e-02
1.031177e-01 9.920049e-01 1.254414e+03 8.860548e-01 1.487787e+06 1.183943e+02 -2.957842e-02 2.063202e+00 1.902831e-04 4.296976e-02
1.063327e-01 1.006132e+00 1.255298e+03 9.262257e-01 1.525882e+06 1.214258e+02 7.353536e-02 2.270497e+00 1.967299e-04 4.276791e-02
1.096478e-01 9.979578e-01 1.255011e+03 1.015028e+00 1.601593e+06 1.274507e+02 2.319618e-02 2.341570e+00 2.004855e-04 4.723348e-02
1.130663e-01 1.012477e+00 1.254772e+03 9.587663e-01 1.621480e+06 1.290333e+02 1.651878e-01 2.293525e+00 2.029480e-04 4.455534e-02
1.165914e-01 1.010042e+00 1.254442e+03 9.544074e-01 1.549363e+06 1.232944e+02 -6.215595e-02 2.281753e+00 2.035512e-04 4.219377e-02
1.202264e-01 1.011232e+00 1.255947e+03 9.805094e-01 1.644869e+06 1.308945e+02 5.353971e-02 2.219576e+00 1.926034e-04 4.600439e-02
1.239748e-01 1.001843e+00 1.254268e+03 9.203863e-01 1.476694e+06 1.175116e+02 7.759149e-02 3.083250e+00 1.845189e-04 4.146680e-02
1.278400e-01 1.001923e+00 1.255062e+03 1.006272e+00 1.690169e+06 1.344993e+02 2.772456e-02 2.553040e+00 1.913410e-04 4.653116e-02
1.318257e-01 1.009381e+00 1.254934e+03 1.008116e+00 1.611328e+06 1.282254e+02 9.503535e-02 2.007560e+00 1.995861e-04 4.447863e-02
1.359356e-01 1.006306e+00 1.255148e+03 1.000385e+00 1.735949e+06 1.381425e+02 1.466426e-01 1.513931e+00 2.044454e-04 4.623390e-02
1.401737e-01 9.955735e-01 1.254649e+03 9.653133e-01 1.568791e+06 1.248404e+02 1.285789e-02 2.312063e+00 1.912365e-04 4.464804e-02
1.445440e-01 1.004738e+00 1.254405e+03 9.758493e-01 1.604972e+06 1.277196e+02 1.260185e-02 4.447852e+00 2.136501e-04 4.423365e-02
1.490505e-01 1.012527e+00 1.254669e+03 9.584815e-01 1.647010e+06 1.310649e+02 1.052295e-01 2.243890e+00 2.025839e-04 4.538931e-02
1.536975e-01 9.951895e-01 1.254464e+03 9.560269e-01 1.655658e+06 1.317531e+02 9.106692e-02 2.199758e+00 1.958964e-04 4.569538e-02
1.584893e-01 1.004035e+00 1.255117e+03 9.852846e-01 1.690197e+06 1.345016e+02 2.550776e-02 2.580379e+00 1.952947e-04 4.717111e-02
1.634306e-01 9.943914e-01 1.255235e+03 9.612090e-01 1.531349e+06 1.218609e+02 -1.798426e-02 2.740713e+00 1.938389e-04 4.403994e-02
1.685259e-01 9.951693e-01 1.254294e+03 9.442704e-01 1.495807e+06 1.190326e+02 1.564930e-01 1.695018e+00 2.011153e-04 4.315192e-02
1.737801e-01 1.010641e+00 1.255518e+03 9.569391e-01 1.527515e+06 1.215558e+02 6.107031e-02 2.382899e+00 1.769698e-04 4.298171e-02
1.791981e-01 1.001569e+00 1.255361e+03 9.698441e-01 1.448722e+06 1.152856e+02 -1.390642e-02 3.029135e+00 1.985410e-04 4.120184e-02
1.847850e-01 9.952792e-01 1.254059e+03 9.886442e-01 1.595580e+06 1.269722e+02 3.431080e-02 2.298948e+00 1.915350e-04 4.545962e-02
1.905461e-01 1.001325e+00 1.254585e+03 9.635284e-01 1.540833e+06 1.226156e+02 1.107951e-01 2.191912e+00 1.986815e-04 4.500591e-02
1.964868e-01 1.002600e+00 1.253513e+03 9.778272e-01 1.556189e+06 1.238376e+02 -4.819080e-02 1.661741e+00 1.984531e-04 4.329315e-02
2.026127e-01 9.982556e-01 1.254959e+03 9.009848e-01 1.451202e+06 1.154830e+02 8.677601e-02 1.705613e+00 1.897615e-04 4.060614e-02
2.089296e-01 9.979723e-01 1.254970e+03 9.814684e-01 1.578704e+06 1.256293e+02 4.763244e-02 2.263670e+00 1.848060e-04 4.516023e-02
2.154435e-01 9.953969e-01 1.254028e+03 8.775490e-01 1.467122e+06 1.167499e+02 1.057162e-01 2.502252e+00 1.960870e-04 4.190361e-02
2.221604e-01 9.963685e-01 1.254904e+03 8.458745e-01 1.469628e+06 1.169493e+02 1.094242e-01 1.243503e+00 2.092508e-04 3.911638e-02
2.290868e-01 1.003446e+00 1.254905e+03 9.734091e-01 1.632618e+06 1.299196e+02 5.697665e-02 2.846819e+00 2.166744e-04 4.629244e-02
2.362291e-01 1.007954e+00 1.255464e+03 9.767012e-01 1.662524e+06 1.322994e+02 7.138566e-02 2.364693e+00 1.955885e-04 4.564372e-02
2.435940e-01 1.000870e+00 1.254698e+03 9.874487e-01 1.612402e+06 1.283108e+02 1.417633e-01 1.761249e+00 1.896425e-04 4.448988e-02
2.511886e-01 1.006782e+00 1.255297e+03 9.876733e-01 1.613966e+06 1.284354e+02 6.341726e-02 1.528397e+00 1.981793e-04 4.506484e-02
2.590200e-01 1.015025e+00 1.255900e+03 9.246234e-01 1.582240e+06 1.259107e+02 4.026539e-02 1.733965e+00 1.871979e-04 4.233572e-02
2.670956e-01 1.013157e+00 1.255787e+03 9.192560e-01 1.469343e+06 1.169266e+02 5.158896e-02 2.012365e+00 2.079079e-04 4.033296e-02
2.754229e-01 1.004287e+00 1.254317e+03 9.944615e-01 1.550286e+06 1.233678e+02 6.247426e-03 2.176965e+00 1.882848e-04 4.431940e-02
2.840098e-01 1.007760e+00 1.254576e+03 9.670557e-01 1.483655e+06 1.180655e+02 4.371769e-03 4.104979e+00 1.853581e-04 4.323515e-02
2.928645e-01 1.006159e+00 1.255443e+03 9.711757e-01 1.534912e+06 1.221444e+02 8.069709e-02 2.692624e+00 2.021583e-04 4.348130e-02
3.019952e-01 1.004079e+00 1.255009e+03 1.019336e+00 1.618035e+06 1.287592e+02 4.330767e-02 3.562578e+00 1.821809e-04 4.435803e-02
