#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.01 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_50.0_5.0_0.99_1.0_0.01.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.867850e-01 1.290518e+04 9.258158e-01 1.560392e+06 1.241721e+02 7.975002e-02 1.211728e+01 1.486577e-04 4.568730e-02
1.031177e-01 9.915655e-01 1.289589e+04 9.462798e-01 1.512162e+06 1.203340e+02 -8.552488e-02 1.538663e+01 1.559182e-04 4.347100e-02
1.063327e-01 1.007470e+00 1.290490e+04 9.331353e-01 1.606394e+06 1.278328e+02 2.146511e-02 1.246807e+01 1.575040e-04 4.325022e-02
1.096478e-01 1.001240e+00 1.290221e+04 9.622111e-01 1.575535e+06 1.253771e+02 6.115549e-02 1.672396e+01 1.609030e-04 4.566691e-02
1.130663e-01 1.005831e+00 1.290293e+04 9.668831e-01 1.594813e+06 1.269112e+02 1.044589e-01 2.291373e+01 1.534381e-04 4.544965e-02
1.165914e-01 9.947536e-01 1.289052e+04 9.422297e-01 1.495683e+06 1.190227e+02 9.642596e-02 3.569705e+01 1.557679e-04 4.318237e-02
1.202264e-01 9.938978e-01 1.289698e+04 9.509208e-01 1.610690e+06 1.281746e+02 1.589564e-01 1.946013e+01 1.462104e-04 4.504464e-02
1.239748e-01 9.920400e-01 1.289636e+04 9.461593e-01 1.503213e+06 1.196219e+02 1.633992e-01 3.933554e+01 1.609420e-04 4.317966e-02
1.278400e-01 1.005068e+00 1.291239e+04 9.833295e-01 1.584045e+06 1.260543e+02 5.084689e-02 2.057186e+01 1.486383e-04 4.378008e-02
1.318257e-01 9.967690e-01 1.290532e+04 9.502163e-01 1.538255e+06 1.224104e+02 2.966984e-02 4.509072e+01 1.686189e-04 4.388469e-02
1.359356e-01 1.001480e+00 1.290715e+04 9.982182e-01 1.631919e+06 1.298640e+02 2.269163e-01 9.430333e+00 1.571639e-04 4.631500e-02
1.401737e-01 1.016385e+00 1.291324e+04 9.673644e-01 1.559509e+06 1.241018e+02 -5.514908e-02 2.517886e+01 1.596261e-04 4.367072e-02
1.445440e-01 1.030896e+00 1.291254e+04 9.619809e-01 1.618189e+06 1.287714e+02 -4.353962e-02 1.684209e+01 1.683214e-04 4.396651e-02
1.490505e-01 9.994748e-01 1.290377e+04 9.479942e-01 1.605453e+06 1.277579e+02 7.127622e-02 3.744947e+01 1.672155e-04 4.546203e-02
1.536975e-01 1.014032e+00 1.291977e+04 9.904395e-01 1.783277e+06 1.419087e+02 1.927356e-01 1.196394e+01 1.620808e-04 4.761734e-02
1.584893e-01 1.006066e+00 1.291068e+04 1.001830e+00 1.589013e+06 1.264496e+02 3.823493e-02 1.202929e+01 1.631501e-04 4.529799e-02
1.634306e-01 1.017924e+00 1.291384e+04 9.469869e-01 1.511673e+06 1.202951e+02 1.824177e-01 3.201068e+01 1.598618e-04 4.236347e-02
1.685259e-01 1.005878e+00 1.290298e+04 9.915825e-01 1.538369e+06 1.224195e+02 6.476520e-02 1.554663e+01 1.640539e-04 4.446018e-02
1.737801e-01 9.996674e-01 1.290750e+04 9.921585e-01 1.628576e+06 1.295980e+02 2.102765e-01 2.110529e+01 1.633212e-04 4.590740e-02
1.791981e-01 1.002093e+00 1.289549e+04 9.456721e-01 1.577992e+06 1.255726e+02 1.702168e-02 3.776162e+01 1.560526e-04 4.304793e-02
1.847850e-01 9.963908e-01 1.290023e+04 9.634158e-01 1.466224e+06 1.166784e+02 -6.936667e-02 3.045644e+01 1.536770e-04 4.178230e-02
1.905461e-01 9.907924e-01 1.290019e+04 9.884981e-01 1.628128e+06 1.295623e+02 6.358555e-02 2.264869e+01 1.671929e-04 4.662981e-02
1.964868e-01 1.008830e+00 1.291298e+04 1.043242e+00 1.764881e+06 1.404448e+02 2.230898e-01 2.445491e+01 1.735560e-04 4.871869e-02
2.026127e-01 1.006983e+00 1.290930e+04 9.746585e-01 1.486855e+06 1.183202e+02 8.825090e-02 3.146680e+01 1.660508e-04 4.248017e-02
2.089296e-01 1.011614e+00 1.291051e+04 9.124793e-01 1.458313e+06 1.160489e+02 2.130531e-02 1.340301e+01 1.529508e-04 3.925657e-02
2.154435e-01 9.902644e-01 1.290341e+04 9.617095e-01 1.583491e+06 1.260102e+02 7.233561e-02 2.507041e+01 1.460064e-04 4.531754e-02
2.221604e-01 1.006043e+00 1.291098e+04 9.259409e-01 1.462302e+06 1.163663e+02 2.535008e-03 3.002036e+01 1.530004e-04 4.028411e-02
2.290868e-01 9.922655e-01 1.289323e+04 9.871940e-01 1.521490e+06 1.210763e+02 1.089583e-01 1.653659e+01 1.620738e-04 4.662140e-02
2.362291e-01 1.004465e+00 1.290403e+04 9.642813e-01 1.607148e+06 1.278928e+02 -5.162498e-02 1.402198e+01 1.697770e-04 4.491947e-02
2.435940e-01 1.006778e+00 1.290548e+04 9.365255e-01 1.647615e+06 1.311130e+02 9.208840e-02 1.497378e+01 1.770256e-04 4.453382e-02
2.511886e-01 1.007728e+00 1.290325e+04 1.025694e+00 1.593487e+06 1.268056e+02 5.671479e-03 1.625876e+01 1.593792e-04 4.334279e-02
2.590200e-01 1.002382e+00 1.290384e+04 9.773735e-01 1.563743e+06 1.244387e+02 1.234090e-01 9.957225e+00 1.701649e-04 4.503612e-02
2.670956e-01 1.005974e+00 1.290111e+04 9.648521e-01 1.526348e+06 1.214629e+02 3.526432e-02 3.531166e+01 1.589602e-04 4.333285e-02
2.754229e-01 1.006358e+00 1.290479e+04 1.006015e+00 1.599112e+06 1.272533e+02 1.746565e-01 1.390670e+01 1.633917e-04 4.446059e-02
2.840098e-01 9.958483e-01 1.290116e+04 1.009339e+00 1.680176e+06 1.337041e+02 7.910477e-02 1.380524e+01 1.608637e-04 4.716537e-02
2.928645e-01 9.999548e-01 1.290501e+04 9.114244e-01 1.469267e+06 1.169206e+02 -2.208350e-02 1.938191e+01 1.647946e-04 4.173885e-02
3.019952e-01 1.003201e+00 1.289406e+04 9.271529e-01 1.553203e+06 1.235999e+02 6.281042e-02 5.363038e+01 1.624187e-04 4.496457e-02
3.114106e-01 1.000982e+00 1.290415e+04 9.815235e-01 1.654889e+06 1.316919e+02 7.586148e-02 1.404412e+01 1.642262e-04 4.808468e-02
3.211195e-01 1.005320e+00 1.290372e+04 9.318365e-01 1.534799e+06 1.221354e+02 3.904119e-02 3.559396e+01 1.623477e-04 4.369608e-02
3.311311e-01 1.012364e+00 1.290440e+04 9.426260e-01 1.603335e+06 1.275893e+02 -3.770085e-02 2.001240e+01 1.555758e-04 4.419304e-02
3.414549e-01 1.002382e+00 1.290677e+04 9.540589e-01 1.502915e+06 1.195982e+02 7.862172e-02 2.390589e+01 1.626944e-04 4.132968e-02
3.521005e-01 9.960696e-01 1.290179e+04 9.570094e-01 1.559494e+06 1.241006e+02 6.807670e-02 4.082217e+01 1.638799e-04 4.505040e-02
3.630781e-01 9.952254e-01 1.289967e+04 9.514556e-01 1.543081e+06 1.227945e+02 9.445398e-02 1.917887e+01 1.624422e-04 4.471307e-02
3.743978e-01 1.009530e+00 1.290191e+04 9.588719e-01 1.527107e+06 1.215233e+02 1.309259e-01 2.024370e+01 1.586315e-04 4.313128e-02
3.860705e-01 1.005547e+00 1.289847e+04 9.577266e-01 1.544233e+06 1.228861e+02 9.177067e-02 2.149196e+01 1.507963e-04 4.231255e-02
3.981072e-01 1.001428e+00 1.290731e+04 1.003729e+00 1.662024e+06 1.322597e+02 4.691327e-02 2.260864e+01 1.599108e-04 4.487239e-02
4.105191e-01 1.006275e+00 1.290363e+04 9.791541e-01 1.583344e+06 1.259985e+02 -4.516879e-03 3.745315e+01 1.682717e-04 4.717523e-02
4.233179e-01 9.940560e-01 1.289932e+04 9.810613e-01 1.608178e+06 1.279747e+02 2.310402e-01 1.604495e+01 1.495035e-04 4.593018e-02
4.365158e-01 1.014073e+00 1.290542e+04 9.850979e-01 1.589280e+06 1.264709e+02 3.845224e-02 3.289034e+01 1.657370e-04 4.396161e-02
4.501252e-01 9.997701e-01 1.290735e+04 9.415221e-01 1.556191e+06 1.238378e+02 8.048917e-02 3.586743e+01 1.611533e-04 4.439763e-02
4.641589e-01 9.918668e-01 1.289824e+04 1.009564e+00 1.653089e+06 1.315486e+02 -2.888724e-03 2.046985e+01 1.685854e-04 4.708651e-02
4.786301e-01 9.956473e-01 1.289417e+04 9.764962e-01 1.492328e+06 1.187557e+02 1.431542e-02 1.931530e+01 1.662671e-04 4.458313e-02
