#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_50.0_5.0_0.99_1.0_1.0.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.939128e-01 1.259744e+02 9.227570e-01 1.624063e+06 1.292388e+02 5.212541e-02 2.973410e-01 4.829060e-04 4.331012e-02
1.031177e-01 9.979589e-01 1.260364e+02 9.723894e-01 1.552548e+06 1.235479e+02 5.988355e-03 2.282368e-01 5.187685e-04 4.510564e-02
1.063327e-01 9.881610e-01 1.260155e+02 9.220922e-01 1.432060e+06 1.139597e+02 -3.819871e-02 1.571501e-01 5.536274e-04 4.090974e-02
1.096478e-01 9.881096e-01 1.258858e+02 8.982089e-01 1.546710e+06 1.230832e+02 3.702955e-02 1.780031e-01 5.074569e-04 4.414188e-02
1.130663e-01 1.016085e+00 1.262823e+02 9.805842e-01 1.530882e+06 1.218237e+02 1.076152e-02 2.116819e-01 5.260703e-04 4.335779e-02
1.165914e-01 1.006532e+00 1.260115e+02 9.406643e-01 1.513455e+06 1.204369e+02 1.161555e-01 1.163791e-01 5.306392e-04 4.117681e-02
1.202264e-01 9.968850e-01 1.261012e+02 9.288593e-01 1.568797e+06 1.248409e+02 9.406695e-03 3.711664e-01 5.383572e-04 4.345048e-02
1.239748e-01 9.992163e-01 1.259443e+02 9.234607e-01 1.603793e+06 1.276258e+02 1.720675e-01 2.128419e-01 5.028564e-04 4.625455e-02
1.278400e-01 9.999602e-01 1.260925e+02 1.000821e+00 1.578375e+06 1.256031e+02 -5.360579e-03 3.473560e-01 5.319020e-04 4.327840e-02
1.318257e-01 1.004530e+00 1.260608e+02 9.699467e-01 1.562713e+06 1.243567e+02 -3.854536e-02 3.348925e-01 5.194113e-04 4.520879e-02
1.359356e-01 1.019119e+00 1.262426e+02 9.958298e-01 1.692309e+06 1.346697e+02 6.118850e-02 1.255047e-01 5.193958e-04 4.667876e-02
