#./overdamped_3d --dev=0 --amp=120 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_50.0_5.0_0.99_1.0_0.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.913276e-01 9.966301e-01 1.627424e+06 1.295037e+02 7.644463e-02 2.398014e-03
1.031177e-01 1.000597e+00 9.816607e-01 1.551040e+06 1.234310e+02 3.135407e-02 2.455950e-03
1.063327e-01 1.009647e+00 9.176529e-01 1.547352e+06 1.231363e+02 1.260877e-02 2.774358e-03
1.096478e-01 1.000643e+00 9.668161e-01 1.573445e+06 1.252148e+02 8.000410e-02 2.373338e-03
1.130663e-01 1.001203e+00 8.661284e-01 1.351267e+06 1.075279e+02 -2.026039e-02 2.398729e-03
1.165914e-01 9.919687e-01 9.549904e-01 1.556728e+06 1.238786e+02 2.584267e-02 2.479553e-03
1.202264e-01 1.007505e+00 1.009115e+00 1.617186e+06 1.286898e+02 4.105508e-02 2.404809e-03
1.239747e-01 1.002740e+00 9.629762e-01 1.582670e+06 1.259485e+02 2.612507e-02 2.663016e-03
1.278399e-01 9.998622e-01 9.930420e-01 1.591772e+06 1.266733e+02 1.853478e-02 2.508283e-03
1.318256e-01 9.998191e-01 9.438628e-01 1.507143e+06 1.199379e+02 6.351554e-02 2.610564e-03
1.359356e-01 1.013145e+00 9.187339e-01 1.527946e+06 1.215893e+02 8.503056e-02 2.837062e-03
1.401737e-01 1.001721e+00 9.413624e-01 1.602602e+06 1.275290e+02 1.000456e-01 2.541780e-03
1.445439e-01 9.998397e-01 9.238364e-01 1.438909e+06 1.145056e+02 1.083171e-02 2.624154e-03
1.490504e-01 1.000541e+00 9.672559e-01 1.511703e+06 1.202998e+02 -1.901054e-02 2.432466e-03
1.536974e-01 1.004932e+00 9.627426e-01 1.587644e+06 1.263397e+02 4.505754e-02 2.599478e-03
1.584892e-01 1.005255e+00 9.416436e-01 1.638747e+06 1.304068e+02 7.001281e-02 2.646923e-03
1.634305e-01 9.985785e-01 9.451042e-01 1.494203e+06 1.188996e+02 1.349022e-01 2.613187e-03
1.685258e-01 1.001482e+00 9.594673e-01 1.605646e+06 1.277667e+02 1.181532e-01 2.586007e-03
1.737800e-01 9.910005e-01 1.005465e+00 1.532504e+06 1.219471e+02 -3.057843e-02 2.606630e-03
1.791980e-01 1.000206e+00 9.296609e-01 1.584418e+06 1.260857e+02 -2.387112e-02 2.518535e-03
1.847849e-01 1.006651e+00 9.705011e-01 1.551357e+06 1.234495e+02 2.194893e-02 2.556086e-03
1.905460e-01 9.935742e-01 9.781173e-01 1.666784e+06 1.326404e+02 5.379272e-02 2.681136e-03
1.964867e-01 1.012233e+00 9.272450e-01 1.543918e+06 1.228648e+02 1.062449e-01 2.440453e-03
2.026126e-01 1.000057e+00 9.507704e-01 1.575489e+06 1.253730e+02 1.079590e-01 2.630234e-03
2.089295e-01 1.003380e+00 9.445556e-01 1.617162e+06 1.286917e+02 8.475244e-02 2.573490e-03
2.154433e-01 1.007871e+00 1.006512e+00 1.542466e+06 1.227381e+02 8.785760e-02 2.511144e-03
2.221602e-01 1.004530e+00 9.563580e-01 1.568744e+06 1.248364e+02 1.505433e-01 2.351165e-03
2.290866e-01 1.015149e+00 1.019064e+00 1.592492e+06 1.267278e+02 7.431412e-02 2.473831e-03
2.362289e-01 1.006873e+00 9.901421e-01 1.582386e+06 1.259183e+02 1.791676e-01 2.600312e-03
2.435938e-01 9.982338e-01 9.799902e-01 1.537439e+06 1.223472e+02 4.242539e-03 2.282023e-03
2.511884e-01 1.001081e+00 9.478302e-01 1.500873e+06 1.194385e+02 -5.583477e-02 2.432346e-03
2.590198e-01 1.002712e+00 9.393277e-01 1.581318e+06 1.258317e+02 6.600678e-02 2.488494e-03
2.670953e-01 1.020784e+00 9.377365e-01 1.492075e+06 1.187350e+02 1.151667e-01 2.465725e-03
2.754226e-01 1.005364e+00 9.505507e-01 1.621121e+06 1.290021e+02 1.287028e-01 2.675414e-03
2.840095e-01 1.008658e+00 9.465218e-01 1.513990e+06 1.204816e+02 5.451214e-02 2.477884e-03
2.928641e-01 1.014918e+00 1.016092e+00 1.638621e+06 1.303995e+02 4.952645e-02 2.608299e-03
3.019949e-01 1.000809e+00 9.460379e-01 1.515751e+06 1.206200e+02 4.424822e-02 2.622247e-03
3.114102e-01 1.003249e+00 9.401318e-01 1.541102e+06 1.226384e+02 7.148242e-02 2.631068e-03
3.211191e-01 9.987105e-01 9.380207e-01 1.582173e+06 1.259062e+02 1.139616e-01 2.478361e-03
3.311307e-01 1.004026e+00 9.630473e-01 1.650297e+06 1.313267e+02 -4.599154e-03 2.533674e-03
3.414545e-01 1.005755e+00 9.617897e-01 1.577616e+06 1.255389e+02 9.656394e-02 2.614379e-03
3.521001e-01 1.003441e+00 1.003550e+00 1.708804e+06 1.359814e+02 7.084501e-02 2.535582e-03
3.630776e-01 9.962267e-01 9.544809e-01 1.573766e+06 1.252298e+02 -4.647106e-02 2.799392e-03
3.743974e-01 9.964423e-01 9.490980e-01 1.578390e+06 1.255981e+02 8.506739e-02 2.421618e-03
