#m lambda
0.9298 0.0691762
0.9299 0.0483549
0.929 0.0515616
0.92 0.0689404
0.9301 0.0542284
0.9302 0.0756882
0.9303 0.055715
0.9304 0.0508772
0.9305 0.0653943
0.9306 0.0600182
0.9307 0.0704901
0.9308 0.0421909
0.9309 0.0616969
0.9311 0.0580685
0.9312 0.0795709
0.9313 0.0581659
0.9314 0.0571497
0.9315 0.0473362
0.9316 0.0630818
0.9317 0.0496808
0.9318 0.0560967
0.9319 0.0562454
0.931 0.054002
0.9321 0.0349146
0.9322 0.0582991
0.9323 0.0539041
0.9324 0.0753191
0.9325 0.0678468
0.9326 0.069779
0.9327 0.0512063
0.9328 0.0653253
0.9329 0.0501426
0.932 0.0694706
0.9331 0.0436959
0.9332 0.0751947
0.9333 0.052016
0.9334 0.047378
0.9335 0.0638047
0.9336 0.0779862
0.9337 0.0650824
0.9338 0.0408814
0.9339 0.0577529
0.933 0.0553062
0.9341 0.00283638
0.9342 0.0590104
0.9343 0.00527293
0.9344 0.0330883
0.9345 0.00453099
0.9346 0.00312563
0.9347 0.0019578
0.9348 0.00204185
0.9349 0.00291062
0.934 0.00277926
0.9351 0.00195104
0.9352 0.00252566
0.9353 0.00246633
0.9354 0.00100769
0.9355 0.00116482
0.9356 0.000660952
0.9357 0.00188829
0.9358 0.00101371
0.9359 0.0011861
0.935 0.00153124
0.9361 0.00275751
0.9362 0.002218
0.9363 0.0554121
0.9364 0.0646605
0.9365 0.0298079
0.9366 0.0725595
0.9367 0.0651225
0.9368 0.0454316
0.9369 0.0574663
0.936 0.00192002
0.9371 0.0557222
0.9372 0.0765048
0.9373 0.0608639
0.9374 0.0658589
0.9375 0.0633586
0.9376 0.0614711
0.9377 0.033528
0.9378 0.0700633
0.9379 0.0711578
0.937 0.0471884
0.9381 0.0532571
0.9382 0.0547681
0.9383 0.0607231
0.9384 0.0397692
0.9385 0.0729591
0.9386 0.0563258
0.9387 0.0497732
0.9388 0.047066
0.9389 0.040358
0.938 0.0505824
0.9391 0.0567527
0.9392 0.0542287
0.9393 0.058048
0.9394 0.043242
0.9395 0.0536207
0.9396 0.037364
0.9397 0.0471464
0.9398 0.0414874
0.9399 0.0831106
0.939 0.0715951
0.93 0.0525093
0.9401 0.0630125
