#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.01 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.01-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.010336e+02 -8.011239e+01 -2.462528e+00 6.417995e+03 6.064042e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010462e+02 -8.014316e+01 -2.434783e+00 6.422926e+03 5.928171e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010588e+02 -8.017347e+01 -2.390118e+00 6.427785e+03 5.712664e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010713e+02 -8.020312e+01 -2.326040e+00 6.432540e+03 5.410461e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010839e+02 -8.023186e+01 -2.248993e+00 6.437152e+03 5.057968e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010965e+02 -8.025951e+01 -2.154212e+00 6.441589e+03 4.640628e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011090e+02 -8.028585e+01 -2.035796e+00 6.445818e+03 4.144464e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011216e+02 -8.031061e+01 -1.907566e+00 6.449794e+03 3.638810e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011342e+02 -8.033368e+01 -1.759948e+00 6.453500e+03 3.097416e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011467e+02 -8.035484e+01 -1.608118e+00 6.456899e+03 2.586045e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011593e+02 -8.037402e+01 -1.448442e+00 6.459984e+03 2.097986e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011719e+02 -8.039117e+01 -1.281691e+00 6.462741e+03 1.642731e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011844e+02 -8.040618e+01 -1.105281e+00 6.465154e+03 1.221645e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011970e+02 -8.041895e+01 -9.285042e-01 6.467208e+03 8.621201e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012095e+02 -8.042949e+01 -7.523273e-01 6.468903e+03 5.659964e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012221e+02 -8.043780e+01 -5.692236e-01 6.470239e+03 3.240156e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012347e+02 -8.044381e+01 -3.859788e-01 6.471207e+03 1.489796e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012473e+02 -8.044753e+01 -2.089694e-01 6.471806e+03 4.366820e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012598e+02 -8.044904e+01 -3.149986e-02 6.472047e+03 9.922413e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012724e+02 -8.044833e+01 1.417671e-01 6.471935e+03 2.009791e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012850e+02 -8.044547e+01 3.160206e-01 6.471474e+03 9.986903e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012975e+02 -8.044044e+01 4.829573e-01 6.470665e+03 2.332478e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013101e+02 -8.043333e+01 6.438231e-01 6.469521e+03 4.145082e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013226e+02 -8.042424e+01 8.045555e-01 6.468059e+03 6.473095e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013352e+02 -8.041320e+01 9.527935e-01 6.466283e+03 9.078155e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013478e+02 -8.040032e+01 1.096971e+00 6.464212e+03 1.203344e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013603e+02 -8.038568e+01 1.228938e+00 6.461858e+03 1.510289e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013729e+02 -8.036945e+01 1.351835e+00 6.459249e+03 1.827458e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013855e+02 -8.035174e+01 1.467489e+00 6.456402e+03 2.153524e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.013980e+02 -8.033267e+01 1.572387e+00 6.453338e+03 2.472401e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014106e+02 -8.031238e+01 1.654174e+00 6.450078e+03 2.736292e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014232e+02 -8.029115e+01 1.726557e+00 6.446668e+03 2.980999e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014357e+02 -8.026910e+01 1.781305e+00 6.443129e+03 3.173048e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014483e+02 -8.024648e+01 1.820876e+00 6.439498e+03 3.315588e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014609e+02 -8.022347e+01 1.839905e+00 6.435806e+03 3.385249e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014734e+02 -8.020033e+01 1.847745e+00 6.432092e+03 3.414161e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014860e+02 -8.017718e+01 1.831944e+00 6.428380e+03 3.356018e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.014986e+02 -8.015435e+01 1.806543e+00 6.424720e+03 3.263596e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015111e+02 -8.013194e+01 1.759797e+00 6.421127e+03 3.096884e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015237e+02 -8.011018e+01 1.700788e+00 6.417640e+03 2.892682e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015363e+02 -8.008924e+01 1.629995e+00 6.414287e+03 2.656884e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015488e+02 -8.006927e+01 1.553576e+00 6.411087e+03 2.413598e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015614e+02 -8.005032e+01 1.455178e+00 6.408054e+03 2.117544e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015740e+02 -8.003265e+01 1.359224e+00 6.405225e+03 1.847490e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015865e+02 -8.001624e+01 1.251475e+00 6.402598e+03 1.566190e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.015991e+02 -8.000120e+01 1.139273e+00 6.400192e+03 1.297942e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016117e+02 -7.998762e+01 1.023751e+00 6.398019e+03 1.048066e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016242e+02 -7.997550e+01 9.043148e-01 6.396081e+03 8.177853e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016368e+02 -7.996491e+01 7.805668e-01 6.394387e+03 6.092845e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016494e+02 -7.995590e+01 6.535072e-01 6.392946e+03 4.270717e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016619e+02 -7.994851e+01 5.234223e-01 6.391764e+03 2.739709e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016745e+02 -7.994276e+01 3.893773e-01 6.390844e+03 1.516147e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016871e+02 -7.993871e+01 2.572703e-01 6.390197e+03 6.618802e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.016996e+02 -7.993634e+01 1.188386e-01 6.389818e+03 1.412262e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017122e+02 -7.993574e+01 -2.259560e-02 6.389722e+03 5.105611e-04 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017248e+02 -7.993693e+01 -1.669098e-01 6.389913e+03 2.785889e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017373e+02 -7.993995e+01 -3.141201e-01 6.390396e+03 9.867141e-02 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017499e+02 -7.994485e+01 -4.668386e-01 6.391179e+03 2.179383e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017625e+02 -7.995169e+01 -6.196266e-01 6.392273e+03 3.839372e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017750e+02 -7.996046e+01 -7.778388e-01 6.393676e+03 6.050332e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.017876e+02 -7.997121e+01 -9.323245e-01 6.395394e+03 8.692289e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018002e+02 -7.998392e+01 -1.095903e+00 6.397428e+03 1.201003e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018127e+02 -7.999869e+01 -1.256380e+00 6.399790e+03 1.578490e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018253e+02 -8.001548e+01 -1.415508e+00 6.402477e+03 2.003662e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018379e+02 -8.003427e+01 -1.572556e+00 6.405484e+03 2.472933e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018504e+02 -8.005502e+01 -1.730049e+00 6.408806e+03 2.993068e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018630e+02 -8.007768e+01 -1.881246e+00 6.412435e+03 3.539087e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018756e+02 -8.010222e+01 -2.024061e+00 6.416365e+03 4.096822e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.018881e+02 -8.012849e+01 -2.156743e+00 6.420576e+03 4.651538e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019007e+02 -8.015637e+01 -2.279286e+00 6.425044e+03 5.195145e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019133e+02 -8.018569e+01 -2.387741e+00 6.429745e+03 5.701309e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019258e+02 -8.021628e+01 -2.478251e+00 6.434651e+03 6.141726e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019384e+02 -8.024791e+01 -2.553249e+00 6.439727e+03 6.519082e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019510e+02 -8.028034e+01 -2.610028e+00 6.444933e+03 6.812244e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019635e+02 -8.031339e+01 -2.648349e+00 6.450241e+03 7.013752e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019761e+02 -8.034677e+01 -2.668062e+00 6.455604e+03 7.118556e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.019887e+02 -8.038030e+01 -2.668551e+00 6.460993e+03 7.121166e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020012e+02 -8.041375e+01 -2.653524e+00 6.466371e+03 7.041188e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.020138e+02 -8.044693e+01 -2.628098e+00 6.471708e+03 6.906897e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
