#p2 n = 2 3 4 5 6 7 8
0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1 7.991730e-01 8.004816e-01 8.017904e-01 8.030994e-01 8.044086e-01 8.057180e-01 8.070276e-01 8.083373e-01
2 5.776539e-01 8.575344e-01 1.120910e+00 1.373127e+00 1.619858e+00 1.862478e+00 2.102196e+00 2.337520e+00
3 7.544665e-01 1.034936e+00 1.297512e+00 1.552300e+00 1.799160e+00 2.040182e+00 2.278175e+00 2.510149e+00
4 9.670835e-01 1.919132e+00 2.870387e+00 3.820622e+00 4.770135e+00 5.718870e+00 6.664803e+00 7.606126e+00
5 9.999971e-01 1.999851e+00 2.999584e+00 3.998832e+00 4.997671e+00 5.995404e+00 6.991488e+00 7.981535e+00
6 9.975384e-01 1.990642e+00 2.983577e+00 3.976413e+00 4.968431e+00 5.959795e+00 6.948513e+00 7.932962e+00
7 9.993067e-01 1.997924e+00 2.996323e+00 3.994532e+00 4.991852e+00 5.988036e+00 6.981182e+00 7.970497e+00
8 9.998244e-01 1.999556e+00 2.999224e+00 3.998370e+00 4.996626e+00 5.993797e+00 6.988326e+00 7.977455e+00
9 9.990015e-01 1.997738e+00 2.996288e+00 3.994238e+00 4.991829e+00 5.988776e+00 6.983660e+00 7.972775e+00
10 9.985646e-01 1.996397e+00 2.994221e+00 3.991475e+00 4.988602e+00 5.984514e+00 6.977688e+00 7.966258e+00
11 9.979574e-01 1.995914e+00 2.993866e+00 3.991583e+00 4.988653e+00 5.984646e+00 6.977628e+00 7.964837e+00
12 9.984330e-01 1.996804e+00 2.995013e+00 3.992806e+00 4.990253e+00 5.986736e+00 6.979775e+00 7.967071e+00
13 9.987150e-01 1.997435e+00 2.996158e+00 3.994561e+00 4.992387e+00 5.988673e+00 6.982896e+00 7.972082e+00
14 9.995775e-01 1.999116e+00 2.998624e+00 3.998046e+00 4.996431e+00 5.993277e+00 6.987637e+00 7.976894e+00
15 9.983787e-01 1.996584e+00 2.994714e+00 3.992263e+00 4.989513e+00 5.985077e+00 6.978741e+00 7.969210e+00
16 9.997114e-01 1.998973e+00 2.997872e+00 3.996639e+00 4.994957e+00 5.991627e+00 6.985613e+00 7.973986e+00
17 9.995272e-01 1.998745e+00 2.997505e+00 3.996097e+00 4.994053e+00 5.990891e+00 6.986048e+00 7.976799e+00
18 9.988455e-01 1.997702e+00 2.996431e+00 3.994243e+00 4.991744e+00 5.988290e+00 6.983325e+00 7.973461e+00
19 9.999896e-01 1.999764e+00 2.999422e+00 3.998620e+00 4.996953e+00 5.994336e+00 6.989321e+00 7.980469e+00
20 9.999389e-01 1.999870e+00 2.999636e+00 3.998549e+00 4.996823e+00 5.994037e+00 6.988727e+00 7.978456e+00
