#./munderdamped_3d_gle --dev=0 --amp=8.0 --omega=5.0 --force=0.0 --mass=1.0 --Dg=0.0001 --tau=0.1 --block=1 --paths=1 --periods=100.0 --trans=80 --samples=1 --spp=100 --algorithm=predcorr --pav=1 --mode=trajectory --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/traj-f0.0-D0.0001-m1.0-a8.0-w5.0-t0.1-t1e2.dat
#t <x> <v> <x^2> <v^2> qnu(q) mu_q Dx Gx EBx
1.010462e+02 -1.265508e+01 -3.522586e-01 1.601511e+02 1.240861e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010588e+02 -1.265981e+01 -4.002502e-01 1.602708e+02 1.602002e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010713e+02 -1.266513e+01 -4.465533e-01 1.604055e+02 1.994098e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010839e+02 -1.267102e+01 -4.911156e-01 1.605547e+02 2.411945e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.010965e+02 -1.267746e+01 -5.337716e-01 1.607180e+02 2.849121e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011090e+02 -1.268442e+01 -5.749093e-01 1.608946e+02 3.305207e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011216e+02 -1.269190e+01 -6.144957e-01 1.610843e+02 3.776050e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011342e+02 -1.269986e+01 -6.525620e-01 1.612864e+02 4.258372e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011467e+02 -1.270829e+01 -6.891410e-01 1.615006e+02 4.749154e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011593e+02 -1.271717e+01 -7.244606e-01 1.617263e+02 5.248432e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011719e+02 -1.272648e+01 -7.581750e-01 1.619634e+02 5.748293e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011844e+02 -1.273621e+01 -7.905754e-01 1.622112e+02 6.250094e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.011970e+02 -1.274634e+01 -8.217104e-01 1.624693e+02 6.752080e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012095e+02 -1.275686e+01 -8.514679e-01 1.627374e+02 7.249976e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012221e+02 -1.276774e+01 -8.802682e-01 1.630151e+02 7.748721e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012347e+02 -1.277898e+01 -9.077783e-01 1.633022e+02 8.240614e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.012473e+02 -1.279055e+01 -9.344089e-01 1.635982e+02 8.731200e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
