#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_2.0_50.0_0.99_1.0_1.0.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.967757e-01 5.096884e+01 9.140227e-01 5.943807e+05 4.729932e+01 3.374165e-02 -1.418488e-02 4.470237e-04 1.635013e-02
1.031177e-01 9.960448e-01 5.100252e+01 8.856861e-01 5.822479e+05 4.633382e+01 3.625742e-02 7.801245e-02 4.067436e-04 1.650076e-02
1.063327e-01 1.002586e+00 5.097663e+01 1.007610e+00 6.109944e+05 4.862139e+01 -3.026940e-02 8.345630e-02 3.919291e-04 1.756288e-02
1.096478e-01 1.009944e+00 5.101056e+01 9.572096e-01 6.457530e+05 5.138739e+01 -1.096981e-01 1.147514e-02 3.874056e-04 1.755734e-02
1.130663e-01 1.007662e+00 5.100899e+01 8.867396e-01 5.996122e+05 4.771562e+01 -4.565848e-02 -1.744921e-02 3.808425e-04 1.675969e-02
1.165914e-01 1.003923e+00 5.102139e+01 9.546056e-01 6.344453e+05 5.048755e+01 -8.668919e-02 1.555477e-02 4.045463e-04 1.798327e-02
1.202264e-01 1.004997e+00 5.106858e+01 9.460771e-01 6.415716e+05 5.105464e+01 -2.761285e-02 1.407547e-01 4.038293e-04 1.713017e-02
1.239748e-01 1.000042e+00 5.096000e+01 9.000370e-01 5.566982e+05 4.430063e+01 -2.123240e-02 8.181958e-02 4.213265e-04 1.597564e-02
1.278400e-01 1.005712e+00 5.103759e+01 9.240670e-01 6.317276e+05 5.027128e+01 -3.001571e-02 9.975460e-02 4.234661e-04 1.734471e-02
1.318257e-01 1.007053e+00 5.102158e+01 9.462974e-01 6.449523e+05 5.132367e+01 -3.172023e-02 1.786744e-02 3.905526e-04 1.826637e-02
1.359356e-01 1.002898e+00 5.097405e+01 9.514056e-01 6.619623e+05 5.267728e+01 2.382323e-02 -1.686374e-02 4.177045e-04 1.894557e-02
1.401737e-01 1.001798e+00 5.102817e+01 8.956058e-01 6.204390e+05 4.937296e+01 -2.818441e-02 6.684866e-02 3.961416e-04 1.714720e-02
1.445440e-01 1.003823e+00 5.095247e+01 9.354734e-01 5.949403e+05 4.734384e+01 -2.531926e-02 2.715387e-02 4.197806e-04 1.689311e-02
1.490505e-01 1.004090e+00 5.099713e+01 9.769216e-01 6.143137e+05 4.888553e+01 6.792906e-02 2.128603e-02 4.060814e-04 1.756207e-02
1.536975e-01 9.957288e-01 5.098309e+01 9.619703e-01 6.139781e+05 4.885883e+01 -5.850050e-02 7.747806e-03 3.884134e-04 1.767419e-02
1.584893e-01 1.000725e+00 5.096373e+01 9.982562e-01 6.345490e+05 5.049581e+01 -8.179645e-02 -3.495457e-03 3.982697e-04 1.809620e-02
1.634306e-01 9.869168e-01 5.094150e+01 9.525566e-01 6.083452e+05 4.841057e+01 -6.569760e-02 9.788836e-02 4.304449e-04 1.759819e-02
1.685259e-01 1.005492e+00 5.099817e+01 9.119407e-01 6.108212e+05 4.860761e+01 -9.109655e-02 3.431759e-02 4.007394e-04 1.648379e-02
1.737801e-01 1.013112e+00 5.106471e+01 9.424711e-01 6.188096e+05 4.924330e+01 9.249934e-03 5.486782e-02 3.644616e-04 1.697291e-02
1.791981e-01 1.000424e+00 5.097005e+01 9.278572e-01 6.226167e+05 4.954626e+01 -8.678470e-02 2.686338e-02 4.066794e-04 1.723130e-02
1.847850e-01 1.000954e+00 5.096950e+01 9.459602e-01 6.217011e+05 4.947340e+01 4.738462e-04 1.250914e-01 4.326373e-04 1.715592e-02
1.905461e-01 1.003209e+00 5.103468e+01 9.186029e-01 5.678894e+05 4.519120e+01 -9.997872e-03 6.323152e-02 4.237167e-04 1.603745e-02
1.964868e-01 9.937508e-01 5.098035e+01 8.690898e-01 5.809806e+05 4.623297e+01 -6.937747e-02 -2.346458e-02 3.966083e-04 1.610850e-02
2.026127e-01 1.005848e+00 5.096672e+01 8.913137e-01 5.915981e+05 4.707788e+01 2.748738e-02 -1.920063e-02 4.382512e-04 1.678887e-02
2.089296e-01 1.003584e+00 5.097109e+01 9.754446e-01 6.466459e+05 5.145845e+01 -2.125127e-03 -7.197844e-02 3.790010e-04 1.806934e-02
2.154435e-01 1.001878e+00 5.098680e+01 9.410181e-01 6.244566e+05 4.969268e+01 -3.113646e-02 6.645183e-02 4.367632e-04 1.745004e-02
2.221604e-01 9.971423e-01 5.104755e+01 9.838856e-01 6.344558e+05 5.048839e+01 -4.345252e-02 8.947156e-02 4.097334e-04 1.873901e-02
2.290868e-01 1.004869e+00 5.098649e+01 8.944178e-01 5.604886e+05 4.460227e+01 -6.108008e-02 5.576664e-03 4.025510e-04 1.518600e-02
2.362291e-01 1.006816e+00 5.098342e+01 9.091882e-01 5.900565e+05 4.695520e+01 3.357837e-02 1.463558e-03 3.956192e-04 1.633237e-02
2.435940e-01 9.971483e-01 5.095472e+01 9.469878e-01 6.325332e+05 5.033539e+01 -9.766140e-02 -2.232985e-02 4.006011e-04 1.814817e-02
2.511886e-01 1.007920e+00 5.097110e+01 9.930152e-01 6.760156e+05 5.379561e+01 -5.884243e-02 1.293549e-01 4.229258e-04 1.862610e-02
2.590200e-01 1.009205e+00 5.104876e+01 9.920742e-01 6.416601e+05 5.106169e+01 -5.600127e-02 -1.651231e-02 4.141659e-04 1.773658e-02
2.670956e-01 9.960487e-01 5.093561e+01 9.860523e-01 6.471621e+05 5.149952e+01 -7.987311e-02 -2.849076e-02 4.083106e-04 1.854310e-02
2.754229e-01 1.004294e+00 5.101440e+01 9.487367e-01 5.959370e+05 4.742316e+01 -7.197804e-02 5.325541e-02 4.089614e-04 1.656655e-02
2.840098e-01 1.008074e+00 5.098700e+01 9.481005e-01 6.651725e+05 5.293275e+01 -3.276892e-02 -3.997397e-02 4.218014e-04 1.782930e-02
2.928645e-01 1.007604e+00 5.098374e+01 9.240090e-01 5.935808e+05 4.723566e+01 -1.597316e-01 1.307499e-01 4.129443e-04 1.610017e-02
3.019952e-01 1.003633e+00 5.101971e+01 9.136431e-01 5.868909e+05 4.670329e+01 2.264995e-02 -3.145272e-02 4.076831e-04 1.665421e-02
3.114106e-01 1.005497e+00 5.099406e+01 9.522709e-01 6.031686e+05 4.799863e+01 -4.802555e-03 -4.278964e-02 4.091805e-04 1.705290e-02
3.211195e-01 1.005421e+00 5.102465e+01 9.068567e-01 5.697147e+05 4.533645e+01 -9.773442e-02 9.527366e-02 4.307814e-04 1.709098e-02
3.311311e-01 1.003279e+00 5.102508e+01 9.311099e-01 6.155172e+05 4.898130e+01 -7.846996e-02 -2.165053e-03 4.267279e-04 1.789379e-02
3.414549e-01 9.960889e-01 5.094561e+01 9.872571e-01 6.429926e+05 5.116772e+01 -5.786357e-03 7.632416e-03 4.313032e-04 1.805603e-02
3.521005e-01 1.000219e+00 5.099657e+01 9.295822e-01 5.850805e+05 4.655923e+01 -2.353579e-02 3.309430e-03 4.216862e-04 1.706741e-02
3.630781e-01 1.000201e+00 5.096439e+01 9.145682e-01 6.132460e+05 4.880057e+01 1.039813e-01 1.661962e-02 4.033052e-04 1.738262e-02
3.743978e-01 1.005760e+00 5.102683e+01 9.515941e-01 6.031117e+05 4.799410e+01 -2.207238e-02 1.907427e-02 3.907876e-04 1.703315e-02
3.860705e-01 1.001628e+00 5.098721e+01 9.481052e-01 6.451081e+05 5.133607e+01 -5.767614e-02 9.412794e-02 3.849738e-04 1.807436e-02
3.981072e-01 1.006778e+00 5.099439e+01 9.195689e-01 6.055581e+05 4.818878e+01 -2.651270e-02 1.436750e-02 4.219774e-04 1.685042e-02
4.105191e-01 1.003350e+00 5.103852e+01 9.844516e-01 6.404473e+05 5.096517e+01 -5.981203e-02 6.636882e-02 4.356383e-04 1.743211e-02
4.233179e-01 1.000487e+00 5.096564e+01 9.540677e-01 6.291560e+05 5.006664e+01 1.025678e-03 -1.735679e-02 4.174973e-04 1.801811e-02
4.365158e-01 1.005461e+00 5.102194e+01 9.834522e-01 6.401326e+05 5.094013e+01 6.055635e-03 9.858820e-02 4.218932e-04 1.816145e-02
4.501252e-01 1.006547e+00 5.101083e+01 9.701349e-01 6.350803e+05 5.053808e+01 -3.636452e-02 -4.071890e-02 4.050532e-04 1.802131e-02
4.641589e-01 1.005535e+00 5.105219e+01 9.726728e-01 6.427517e+05 5.114856e+01 -6.770548e-02 8.514666e-02 4.174542e-04 1.852963e-02
4.786301e-01 1.006054e+00 5.092353e+01 9.104262e-01 6.042050e+05 4.808111e+01 -7.142898e-02 -3.450633e-02 4.220684e-04 1.645856e-02
4.935525e-01 1.001762e+00 5.096755e+01 9.058690e-01 5.869923e+05 4.671137e+01 2.769657e-02 4.024608e-02 4.199179e-04 1.665667e-02
5.089401e-01 1.000585e+00 5.097146e+01 8.938294e-01 6.040114e+05 4.806570e+01 -1.935138e-02 2.786604e-02 4.223539e-04 1.714870e-02
5.248075e-01 9.964142e-01 5.102159e+01 8.982384e-01 6.068812e+05 4.829407e+01 -4.503187e-02 -3.844105e-02 4.300143e-04 1.721341e-02
5.411695e-01 1.002973e+00 5.097872e+01 9.508899e-01 6.287754e+05 5.003636e+01 -2.384879e-02 -1.327059e-02 4.014010e-04 1.746559e-02
5.580417e-01 1.000000e+00 5.100878e+01 9.311488e-01 6.138490e+05 4.884855e+01 -4.819716e-02 -2.964613e-02 4.425780e-04 1.747170e-02
5.754399e-01 9.990762e-01 5.099316e+01 9.721248e-01 6.519177e+05 5.187796e+01 -1.869596e-02 3.175281e-03 4.000296e-04 1.807058e-02
5.933806e-01 9.983314e-01 5.098373e+01 9.541673e-01 6.364481e+05 5.064693e+01 -2.402457e-02 2.707691e-02 4.087978e-04 1.775478e-02
6.118806e-01 9.969644e-01 5.095207e+01 9.083203e-01 6.106056e+05 4.859045e+01 -3.984807e-02 7.638275e-02 3.982567e-04 1.686280e-02
6.309573e-01 1.000530e+00 5.095241e+01 9.031356e-01 5.824434e+05 4.634937e+01 -7.028979e-02 -5.952563e-02 4.109035e-04 1.619766e-02
6.506289e-01 1.007359e+00 5.101709e+01 1.012303e+00 6.625010e+05 5.272016e+01 -2.117135e-02 1.758487e-02 4.476880e-04 1.857475e-02
6.709137e-01 1.006893e+00 5.105061e+01 9.307526e-01 6.031963e+05 4.800083e+01 6.002035e-02 6.181320e-02 4.176361e-04 1.697534e-02
6.918310e-01 9.981902e-01 5.098122e+01 9.353723e-01 6.234400e+05 4.961178e+01 -8.911151e-02 5.062298e-03 3.952826e-04 1.703949e-02
7.134004e-01 1.009195e+00 5.101894e+01 9.951390e-01 6.719163e+05 5.346940e+01 -5.401788e-02 -1.654225e-02 4.204275e-04 1.904518e-02
7.356423e-01 1.003246e+00 5.099869e+01 1.036576e+00 6.735003e+05 5.359545e+01 -2.022221e-02 9.800381e-02 4.144222e-04 1.844919e-02
7.585776e-01 1.001021e+00 5.101406e+01 9.562494e-01 6.134425e+05 4.881620e+01 -4.417499e-02 -5.267239e-03 3.848709e-04 1.723201e-02
7.822280e-01 1.005826e+00 5.098298e+01 9.465561e-01 6.170408e+05 4.910254e+01 -3.116361e-02 7.098663e-02 4.103038e-04 1.803756e-02
8.066157e-01 1.004949e+00 5.101340e+01 9.924542e-01 6.531504e+05 5.197605e+01 -7.179775e-02 -5.336352e-02 3.943646e-04 1.802410e-02
8.317638e-01 9.980444e-01 5.099325e+01 9.084146e-01 5.630232e+05 4.480396e+01 -9.075415e-02 -8.125626e-02 4.174728e-04 1.601844e-02
8.576959e-01 1.005795e+00 5.103925e+01 9.612803e-01 6.285312e+05 5.001692e+01 3.057962e-02 2.227365e-02 4.182915e-04 1.728360e-02
8.844365e-01 1.007566e+00 5.093695e+01 1.005946e+00 6.461376e+05 5.141800e+01 -6.592123e-02 6.189500e-02 4.063452e-04 1.831225e-02
9.120108e-01 9.963792e-01 5.090719e+01 9.600665e-01 6.385700e+05 5.081578e+01 -5.516357e-02 -4.593643e-02 4.016405e-04 1.905054e-02
9.404449e-01 1.003510e+00 5.100211e+01 9.904227e-01 6.401726e+05 5.094331e+01 -2.181219e-02 3.556529e-02 4.133320e-04 1.830510e-02
9.697654e-01 1.004300e+00 5.105052e+01 9.399497e-01 6.068016e+05 4.828773e+01 -1.423125e-02 6.233826e-02 4.323586e-04 1.724097e-02
1.000000e+00 1.000652e+00 5.099524e+01 9.817278e-01 6.408413e+05 5.099653e+01 -6.897897e-02 5.754937e-02 3.917513e-04 1.779694e-02
1.031177e+00 1.001204e+00 5.100397e+01 8.874032e-01 5.480608e+05 4.361329e+01 -4.288544e-02 4.159261e-02 3.793825e-04 1.539228e-02
1.063327e+00 9.952742e-01 5.105626e+01 9.440931e-01 6.157544e+05 4.900018e+01 -1.220099e-01 -4.709572e-02 3.806790e-04 1.844127e-02
1.096478e+00 1.009407e+00 5.103566e+01 9.399098e-01 5.847103e+05 4.652977e+01 -8.881364e-02 -9.576718e-03 4.144152e-04 1.687067e-02
1.130663e+00 1.006107e+00 5.101720e+01 9.386183e-01 6.223235e+05 4.952293e+01 -8.867240e-02 -2.397892e-02 4.282432e-04 1.763595e-02
1.165914e+00 9.915962e-01 5.094786e+01 9.288724e-01 6.100367e+05 4.854517e+01 -4.348365e-02 9.570849e-02 4.147046e-04 1.720310e-02
1.202264e+00 1.001161e+00 5.098755e+01 9.284620e-01 6.179932e+05 4.917833e+01 -7.841304e-02 4.024947e-02 4.101827e-04 1.716844e-02
1.239748e+00 9.993291e-01 5.098774e+01 8.954040e-01 6.167276e+05 4.907762e+01 -4.717033e-02 1.336957e-01 4.038555e-04 1.781414e-02
1.278400e+00 9.991714e-01 5.098381e+01 9.737772e-01 6.332341e+05 5.039117e+01 -9.755113e-02 -1.824916e-02 4.066090e-04 1.828142e-02
1.318257e+00 1.009147e+00 5.103556e+01 8.838313e-01 5.928410e+05 4.717678e+01 1.857986e-02 1.919896e-01 4.059365e-04 1.632017e-02
1.359356e+00 9.942583e-01 5.098280e+01 9.496471e-01 6.376108e+05 5.073945e+01 2.466375e-02 7.481652e-02 4.137904e-04 1.790422e-02
1.401737e+00 9.999434e-01 5.097882e+01 1.020935e+00 6.333057e+05 5.039687e+01 -6.513647e-03 1.573257e-02 4.402319e-04 1.838216e-02
