#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.01 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_2.0_50.0_0.99_1.0_0.01.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.003303e+00 5.160193e+03 9.164293e-01 5.805523e+05 4.619888e+01 -1.306283e-02 3.506926e+00 1.797772e-05 1.659901e-02
1.031177e-01 1.006041e+00 5.159714e+03 9.332414e-01 6.139439e+05 4.885611e+01 -3.155772e-02 2.566372e+00 1.860162e-05 1.709228e-02
1.063327e-01 1.000656e+00 5.159660e+03 9.138942e-01 6.207795e+05 4.940006e+01 -6.265044e-02 3.354378e+00 1.826751e-05 1.758005e-02
1.096478e-01 1.005047e+00 5.160118e+03 8.521737e-01 5.863933e+05 4.666370e+01 4.030673e-03 1.795448e+00 1.807075e-05 1.617754e-02
1.130663e-01 9.981029e-01 5.159050e+03 9.169714e-01 5.995016e+05 4.770682e+01 6.989076e-03 2.018468e+00 1.709054e-05 1.685074e-02
1.165914e-01 1.006036e+00 5.159559e+03 9.166952e-01 6.154234e+05 4.897383e+01 -3.009581e-02 1.735017e+00 1.781123e-05 1.702381e-02
1.202264e-01 1.002329e+00 5.160833e+03 9.241034e-01 6.165269e+05 4.906165e+01 -7.091719e-02 2.168010e+00 1.776922e-05 1.787358e-02
1.239748e-01 9.981468e-01 5.159712e+03 9.629887e-01 6.042643e+05 4.808582e+01 -9.245241e-03 5.126834e+00 1.919902e-05 1.738809e-02
1.278400e-01 9.944348e-01 5.158946e+03 9.093986e-01 5.896475e+05 4.692265e+01 -1.516367e-02 3.862026e+00 1.865417e-05 1.690657e-02
1.318257e-01 1.000944e+00 5.160571e+03 9.103739e-01 6.042651e+05 4.808588e+01 -3.416820e-02 3.818842e+00 1.708303e-05 1.699906e-02
1.359356e-01 1.007779e+00 5.160139e+03 8.966919e-01 5.899029e+05 4.694298e+01 -7.768806e-03 7.464458e+00 1.756176e-05 1.616395e-02
1.401737e-01 1.003304e+00 5.159434e+03 9.621123e-01 6.486916e+05 5.162124e+01 -4.646988e-03 2.123316e+00 1.964331e-05 1.811633e-02
1.445440e-01 1.007994e+00 5.158909e+03 8.959253e-01 6.198238e+05 4.932401e+01 -4.294267e-02 2.532514e+00 1.990625e-05 1.756847e-02
1.490505e-01 9.965746e-01 5.158896e+03 9.571353e-01 6.297188e+05 5.011143e+01 -2.824848e-02 1.908126e+00 1.753525e-05 1.775721e-02
1.536975e-01 1.000226e+00 5.160000e+03 9.398178e-01 5.930456e+05 4.719307e+01 -6.417335e-02 2.172250e+00 1.701643e-05 1.682385e-02
1.584893e-01 1.008233e+00 5.161571e+03 9.946547e-01 6.388038e+05 5.083439e+01 -5.072031e-02 6.653161e+00 1.879663e-05 1.739793e-02
1.634306e-01 9.984993e-01 5.159765e+03 9.142611e-01 5.911918e+05 4.704555e+01 -8.854948e-02 1.564495e+00 1.882075e-05 1.704737e-02
1.685259e-01 1.006536e+00 5.161407e+03 9.242286e-01 6.020996e+05 4.791356e+01 -5.842154e-02 2.413910e+00 1.849091e-05 1.681259e-02
1.737801e-01 1.004288e+00 5.160362e+03 9.258992e-01 6.266972e+05 4.987097e+01 -1.059754e-01 3.043710e+00 1.758195e-05 1.730788e-02
1.791981e-01 1.007321e+00 5.161554e+03 9.169709e-01 5.680435e+05 4.520347e+01 -7.223494e-02 2.227793e+00 1.820352e-05 1.595099e-02
1.847850e-01 9.950492e-01 5.159342e+03 9.617220e-01 6.401039e+05 5.093785e+01 -8.974517e-02 2.775349e+00 1.765246e-05 1.756915e-02
1.905461e-01 1.006168e+00 5.160357e+03 9.488990e-01 6.336191e+05 5.042180e+01 -1.599510e-02 3.205869e+00 1.827514e-05 1.815118e-02
1.964868e-01 1.002838e+00 5.158907e+03 9.073357e-01 5.887613e+05 4.685214e+01 -3.126783e-02 2.154711e+00 1.911075e-05 1.669352e-02
2.026127e-01 1.003950e+00 5.159881e+03 9.762538e-01 6.617962e+05 5.266407e+01 -2.476773e-03 2.485782e+00 1.966325e-05 1.878577e-02
2.089296e-01 1.004268e+00 5.160541e+03 8.833012e-01 5.845602e+05 4.651782e+01 -2.951686e-02 1.483861e+00 1.822253e-05 1.631024e-02
2.154435e-01 9.981292e-01 5.160124e+03 9.814414e-01 6.584421e+05 5.239716e+01 1.732779e-03 1.495374e+00 1.842495e-05 1.879985e-02
2.221604e-01 9.993904e-01 5.159785e+03 9.552106e-01 6.081799e+05 4.839742e+01 -4.924041e-02 1.271021e+00 1.849135e-05 1.727847e-02
2.290868e-01 1.003461e+00 5.160357e+03 9.036471e-01 6.201471e+05 4.934974e+01 -8.079172e-02 1.553818e+00 1.888471e-05 1.703110e-02
2.362291e-01 9.999759e-01 5.159496e+03 9.674922e-01 6.221768e+05 4.951125e+01 7.764916e-03 1.760919e+00 1.824074e-05 1.794675e-02
