#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_2.0_50.0_0.99_1.0_0.1.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.005703e+00 5.026582e+02 9.973728e-01 6.744264e+05 5.366914e+01 -3.804457e-03 1.081072e-01 5.104395e-05 1.867385e-02
1.031177e-01 1.003129e+00 5.024938e+02 9.533169e-01 6.264229e+05 4.984915e+01 -4.419238e-02 2.071652e-01 4.967867e-05 1.747453e-02
1.063327e-01 1.005627e+00 5.025719e+02 9.493100e-01 6.012827e+05 4.784855e+01 -5.453163e-02 8.743490e-02 5.404032e-05 1.709744e-02
1.096478e-01 1.006918e+00 5.023716e+02 9.211145e-01 5.734561e+05 4.563418e+01 -1.560671e-02 2.188424e-01 4.993871e-05 1.659478e-02
1.130663e-01 9.989904e-01 5.024162e+02 9.661663e-01 5.970644e+05 4.751287e+01 -7.078269e-02 1.733265e-01 5.289710e-05 1.709441e-02
1.165914e-01 1.005363e+00 5.024759e+02 9.061461e-01 6.115414e+05 4.866491e+01 -4.542017e-02 9.356396e-02 5.081951e-05 1.651377e-02
1.202264e-01 1.006357e+00 5.023323e+02 9.463483e-01 6.263787e+05 4.984563e+01 -1.323185e-02 1.324753e-01 5.136958e-05 1.757072e-02
1.239748e-01 1.006639e+00 5.024709e+02 9.225369e-01 5.852406e+05 4.657196e+01 8.189480e-03 1.452128e-01 5.492595e-05 1.646428e-02
1.278400e-01 1.001663e+00 5.024818e+02 9.327349e-01 6.248239e+05 4.972190e+01 -6.525308e-02 2.627609e-01 4.983669e-05 1.762293e-02
1.318257e-01 1.003286e+00 5.023647e+02 9.466817e-01 6.291569e+05 5.006671e+01 -3.040974e-02 3.897548e-01 5.148003e-05 1.791669e-02
1.359356e-01 1.004214e+00 5.025742e+02 9.112504e-01 6.061199e+05 4.823349e+01 -4.538010e-02 2.546712e-01 5.150836e-05 1.715991e-02
1.401737e-01 1.000920e+00 5.025031e+02 8.959260e-01 6.008237e+05 4.781203e+01 -1.738034e-02 1.135514e-01 5.185786e-05 1.674055e-02
1.445440e-01 9.997291e-01 5.023774e+02 9.888471e-01 6.266248e+05 4.986521e+01 -3.838490e-02 2.581917e-01 5.072228e-05 1.800523e-02
1.490505e-01 1.001743e+00 5.023765e+02 1.012290e+00 6.642153e+05 5.285657e+01 -8.506471e-02 3.025495e-01 5.247106e-05 1.851982e-02
1.536975e-01 1.003757e+00 5.025125e+02 9.521253e-01 6.059655e+05 4.822120e+01 -5.462727e-04 2.676195e-01 4.895129e-05 1.711288e-02
1.584893e-01 9.981947e-01 5.024659e+02 9.779006e-01 6.397916e+05 5.091300e+01 -6.535088e-02 2.392468e-01 5.118838e-05 1.821781e-02
1.634306e-01 9.971527e-01 5.023425e+02 9.631460e-01 6.147972e+05 4.892400e+01 -6.364539e-02 1.175119e-01 5.245219e-05 1.741406e-02
1.685259e-01 1.004776e+00 5.025240e+02 9.371558e-01 6.686114e+05 5.320641e+01 -5.644938e-02 1.308832e-01 5.152766e-05 1.798147e-02
1.737801e-01 1.006722e+00 5.025236e+02 8.732572e-01 5.830891e+05 4.640075e+01 -5.185043e-02 1.351974e-01 5.366804e-05 1.588953e-02
1.791981e-01 9.966263e-01 5.026532e+02 9.673288e-01 6.818758e+05 5.426195e+01 -5.939803e-02 3.883239e-01 5.069986e-05 1.944254e-02
1.847850e-01 1.008791e+00 5.025755e+02 9.332610e-01 5.903502e+05 4.697858e+01 -5.796738e-02 3.370523e-01 5.083461e-05 1.656891e-02
