#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_20.0_5.0_0.99_1.0_250.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 4.719201e-01 7.432591e+04 9.975760e-01 7.693740e+05 6.122484e+01 4.279623e-02 1.030648e+02 1.659965e-04 9.863966e-02
1.023293e-03 4.794376e-01 7.190678e+04 9.106022e-01 7.223447e+05 5.748236e+01 6.736180e-02 8.595495e+01 1.579474e-04 8.927708e-02
1.047129e-03 5.012191e-01 6.961891e+04 9.319221e-01 7.525127e+05 5.988306e+01 -7.469455e-02 9.402907e+01 1.473805e-04 8.011762e-02
1.071519e-03 5.110242e-01 6.734284e+04 9.162674e-01 7.420670e+05 5.905181e+01 -2.745208e-02 1.033174e+02 1.503113e-04 7.761560e-02
1.096478e-03 5.202035e-01 6.517788e+04 9.882630e-01 7.462520e+05 5.938485e+01 3.880397e-02 1.507195e+01 1.503120e-04 7.856932e-02
1.122018e-03 5.416788e-01 6.322546e+04 9.560512e-01 6.874304e+05 5.470397e+01 5.367780e-03 9.606789e+01 1.499928e-04 6.979929e-02
1.148154e-03 5.609970e-01 6.127155e+04 9.213630e-01 7.024870e+05 5.590214e+01 1.729263e-02 8.028846e+01 1.574847e-04 6.402658e-02
1.174898e-03 5.692812e-01 5.933419e+04 9.428782e-01 7.130583e+05 5.674337e+01 5.018489e-03 1.364102e+02 1.504997e-04 6.087921e-02
1.202264e-03 5.970123e-01 5.759004e+04 9.591186e-01 7.595823e+05 6.044563e+01 -8.012687e-02 6.239849e+01 1.430399e-04 5.999065e-02
1.230269e-03 6.004749e-01 5.585927e+04 9.428901e-01 7.256701e+05 5.774699e+01 2.177224e-02 3.949959e+01 1.573662e-04 5.638887e-02
1.258925e-03 6.139293e-01 5.417750e+04 9.760242e-01 7.172811e+05 5.707942e+01 -4.248882e-02 8.248296e+01 1.389528e-04 5.367589e-02
1.288250e-03 6.287647e-01 5.254302e+04 1.020262e+00 7.154877e+05 5.693670e+01 -7.359508e-03 8.471607e+01 1.435526e-04 5.124391e-02
1.318257e-03 6.431793e-01 5.098540e+04 9.463732e-01 6.958616e+05 5.537490e+01 -4.413538e-02 8.343478e+01 1.526840e-04 4.762651e-02
1.348963e-03 6.518031e-01 4.946082e+04 9.943901e-01 7.576590e+05 6.029259e+01 -6.947576e-03 8.190711e+01 1.419243e-04 4.902650e-02
1.380384e-03 6.706865e-01 4.804583e+04 1.024661e+00 7.537697e+05 5.998308e+01 -7.796905e-02 1.972266e+02 1.522934e-04 4.678200e-02
1.412538e-03 6.861264e-01 4.663713e+04 9.944052e-01 7.651308e+05 6.088717e+01 -5.581201e-02 1.542234e+02 1.598389e-04 4.740082e-02
1.445440e-03 6.946874e-01 4.527675e+04 9.920021e-01 7.506245e+05 5.973280e+01 2.807069e-03 4.118887e+01 1.638261e-04 4.464127e-02
1.479108e-03 7.183891e-01 4.401039e+04 9.101046e-01 6.810248e+05 5.419423e+01 1.295029e-02 5.908723e+01 1.626383e-04 3.758084e-02
1.513561e-03 7.314903e-01 4.275528e+04 9.306901e-01 7.056949e+05 5.615742e+01 3.407882e-02 7.507964e+01 1.591864e-04 3.839358e-02
1.548817e-03 7.442616e-01 4.155484e+04 9.519320e-01 7.146184e+05 5.686752e+01 1.206269e-02 9.536425e+01 1.704228e-04 3.645803e-02
1.584893e-03 7.591149e-01 4.034990e+04 9.363487e-01 6.804368e+05 5.414744e+01 -2.488324e-04 1.275621e+02 1.587027e-04 3.366974e-02
1.621810e-03 7.695947e-01 3.922929e+04 1.028080e+00 7.244513e+05 5.765000e+01 -2.702538e-02 8.214736e+01 1.424201e-04 3.495985e-02
1.659587e-03 7.897820e-01 3.815097e+04 9.796565e-01 6.975936e+05 5.551274e+01 2.979522e-02 6.305147e+01 1.541348e-04 3.179260e-02
1.698244e-03 8.007513e-01 3.708178e+04 9.448927e-01 6.545142e+05 5.208459e+01 -2.782498e-02 3.789992e+01 1.470279e-04 3.061492e-02
1.737801e-03 8.182481e-01 3.606130e+04 9.742335e-01 6.757213e+05 5.377219e+01 3.663131e-02 7.074080e+01 1.530999e-04 2.893686e-02
1.778279e-03 8.402847e-01 3.507046e+04 9.369862e-01 6.235417e+05 4.961987e+01 2.280829e-02 4.713927e+01 1.567231e-04 2.565480e-02
1.819701e-03 8.580121e-01 3.413377e+04 9.946465e-01 7.340556e+05 5.841429e+01 -4.236876e-02 4.906117e+01 1.478424e-04 2.811340e-02
1.862087e-03 8.629345e-01 3.317946e+04 9.761416e-01 6.934828e+05 5.518560e+01 -2.434383e-02 6.991074e+01 1.589201e-04 2.518946e-02
1.905461e-03 8.853399e-01 3.228895e+04 9.246210e-01 6.549360e+05 5.211815e+01 9.790164e-03 7.104426e+01 1.540101e-04 2.428764e-02
1.949845e-03 9.003211e-01 3.141142e+04 9.827354e-01 7.175105e+05 5.709767e+01 3.158250e-02 4.115522e+01 1.649999e-04 2.532407e-02
1.995262e-03 9.180980e-01 3.059171e+04 9.274924e-01 6.162719e+05 4.904136e+01 5.961819e-03 7.545307e+01 1.569571e-04 2.065400e-02
2.041738e-03 9.387433e-01 2.975473e+04 9.610921e-01 6.679321e+05 5.315234e+01 -4.629269e-03 1.102054e+02 1.601699e-04 2.148163e-02
2.089296e-03 9.605225e-01 2.897939e+04 9.149681e-01 5.978310e+05 4.757388e+01 -3.548677e-03 1.839202e+02 1.502782e-04 1.917525e-02
2.137962e-03 9.745295e-01 2.820477e+04 9.470676e-01 6.382379e+05 5.078936e+01 2.988816e-02 5.305697e+01 1.416291e-04 1.893682e-02
2.187762e-03 9.944955e-01 2.743355e+04 9.586569e-01 6.276727e+05 4.994861e+01 -5.832534e-02 6.416226e+01 1.475710e-04 1.807302e-02
2.238721e-03 1.018179e+00 2.673202e+04 9.433020e-01 6.532876e+05 5.198697e+01 -2.301316e-02 7.271510e+01 1.531559e-04 1.811926e-02
2.290868e-03 1.034405e+00 2.603562e+04 9.743704e-01 6.429575e+05 5.116493e+01 6.615271e-02 3.077101e+01 1.570055e-04 1.768491e-02
2.344229e-03 1.052269e+00 2.534660e+04 9.596870e-01 6.331506e+05 5.038452e+01 1.934731e-02 3.339332e+01 1.570926e-04 1.604503e-02
2.398833e-03 1.075367e+00 2.469638e+04 9.954179e-01 6.542257e+05 5.206162e+01 2.482340e-02 2.869016e+01 1.680107e-04 1.633199e-02
2.454709e-03 1.094432e+00 2.402950e+04 9.746657e-01 6.581501e+05 5.237392e+01 2.351248e-02 6.332571e+01 1.514731e-04 1.514576e-02
2.511886e-03 1.119069e+00 2.341407e+04 9.886908e-01 6.473242e+05 5.151242e+01 2.842141e-02 4.783331e+01 1.666519e-04 1.498740e-02
2.570396e-03 1.132225e+00 2.281306e+04 9.546254e-01 6.627835e+05 5.274264e+01 -7.242028e-03 3.149812e+01 1.644006e-04 1.478880e-02
2.630268e-03 1.159710e+00 2.224200e+04 9.657712e-01 6.495373e+05 5.168853e+01 -1.478123e-02 6.700463e+01 1.504667e-04 1.390740e-02
2.691535e-03 1.184588e+00 2.167685e+04 9.752985e-01 6.431079e+05 5.117690e+01 5.190298e-02 2.997453e+01 1.394761e-04 1.294885e-02
2.754229e-03 1.204316e+00 2.111746e+04 1.002033e+00 6.592029e+05 5.245770e+01 -4.925816e-02 3.462979e+01 1.554345e-04 1.289637e-02
2.818383e-03 1.218723e+00 2.057502e+04 9.902157e-01 5.965008e+05 4.746802e+01 2.802428e-02 6.727177e+01 1.468008e-04 1.184050e-02
2.884032e-03 1.249277e+00 2.005806e+04 1.032560e+00 6.587018e+05 5.241782e+01 -6.353621e-02 5.891581e+01 1.460718e-04 1.227594e-02
2.951209e-03 1.276734e+00 1.954584e+04 9.910239e-01 6.273357e+05 4.992178e+01 -3.653590e-02 5.250795e+01 1.545448e-04 1.107362e-02
3.019952e-03 1.297953e+00 1.906642e+04 1.007600e+00 6.393273e+05 5.087605e+01 -3.695583e-02 4.224143e+01 1.468490e-04 1.046669e-02
3.090295e-03 1.316124e+00 1.858330e+04 9.622675e-01 5.871258e+05 4.672198e+01 2.172558e-02 4.046338e+01 1.448196e-04 9.687594e-03
3.162278e-03 1.348798e+00 1.811701e+04 9.959853e-01 6.447930e+05 5.131099e+01 1.000657e-02 4.080519e+01 1.589437e-04 9.953436e-03
