#./double_munderdamped_3d --dev=1 --amp=100.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_20.0_5.0_0.99_1.0_100.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 4.036144e-01 7.348522e+04 9.483396e-01 7.634909e+05 6.075667e+01 -1.276111e-02 1.227786e+02 1.543413e-04 1.339974e-01
1.023293e-03 4.098214e-01 7.107137e+04 9.546764e-01 7.524149e+05 5.987527e+01 -3.307047e-02 9.309426e+01 1.556748e-04 1.293418e-01
1.047129e-03 4.154837e-01 6.878338e+04 8.955696e-01 7.416814e+05 5.902113e+01 2.947476e-02 6.745638e+01 1.715229e-04 1.200499e-01
1.071519e-03 4.241540e-01 6.654137e+04 8.317151e-01 6.894392e+05 5.486383e+01 -5.068582e-02 1.439883e+02 1.563048e-04 1.128449e-01
1.096478e-03 4.214523e-01 6.441187e+04 9.961021e-01 8.232497e+05 6.551213e+01 -7.245880e-03 1.184901e+02 1.656474e-04 1.303701e-01
1.122018e-03 4.291175e-01 6.239944e+04 9.061930e-01 7.259785e+05 5.777153e+01 -6.711627e-03 9.706521e+01 1.486995e-04 1.068163e-01
1.148154e-03 4.371262e-01 6.045397e+04 9.219083e-01 7.238995e+05 5.760609e+01 -7.692814e-02 2.408878e+02 1.576678e-04 1.057037e-01
1.174898e-03 4.500141e-01 5.858530e+04 9.676581e-01 7.915193e+05 6.298711e+01 -3.284828e-02 1.296429e+02 1.566799e-04 1.103723e-01
1.202264e-03 4.558694e-01 5.678740e+04 8.999723e-01 7.604461e+05 6.051438e+01 -8.277238e-02 1.305724e+02 1.463456e-04 1.033834e-01
1.230269e-03 4.607272e-01 5.507780e+04 9.127158e-01 7.719250e+05 6.142783e+01 -3.803453e-02 7.538577e+01 1.502580e-04 1.010279e-01
1.258925e-03 4.609737e-01 5.339949e+04 9.620787e-01 7.589921e+05 6.039867e+01 -3.872433e-02 1.193107e+02 1.646389e-04 1.021823e-01
1.288250e-03 4.745849e-01 5.178471e+04 1.015959e+00 7.764944e+05 6.179146e+01 -7.962779e-02 7.972691e+01 1.582473e-04 1.003934e-01
1.318257e-03 4.887925e-01 5.031738e+04 9.149296e-01 7.111106e+05 5.658838e+01 -5.537465e-03 1.533617e+02 1.538235e-04 8.334366e-02
1.348963e-03 4.836128e-01 4.878078e+04 9.243318e-01 7.416072e+05 5.901522e+01 5.852207e-02 7.829130e+01 1.593669e-04 8.993732e-02
1.380384e-03 4.951197e-01 4.732698e+04 9.814525e-01 7.979119e+05 6.349581e+01 -9.695436e-02 5.404046e+01 1.586628e-04 9.075389e-02
1.412538e-03 4.929123e-01 4.591086e+04 1.033544e+00 7.783296e+05 6.193750e+01 -5.192394e-02 1.888029e+02 1.569432e-04 9.278771e-02
1.445440e-03 5.023176e-01 4.461707e+04 8.891629e-01 7.247100e+05 5.767059e+01 -4.819517e-02 6.563850e+01 1.661740e-04 7.945470e-02
1.479108e-03 5.188323e-01 4.335013e+04 9.189485e-01 7.797909e+05 6.205379e+01 5.080836e-03 9.168547e+01 1.496878e-04 8.021543e-02
1.513561e-03 5.187264e-01 4.203935e+04 1.014065e+00 7.479444e+05 5.951952e+01 -6.429488e-03 4.572110e+01 1.621709e-04 8.292751e-02
1.548817e-03 5.239015e-01 4.088929e+04 9.002430e-01 7.109437e+05 5.657510e+01 -3.878175e-02 6.363406e+01 1.589890e-04 7.485027e-02
1.584893e-03 5.244008e-01 3.970734e+04 9.667889e-01 7.076875e+05 5.631598e+01 -5.557314e-02 1.900923e+02 1.455689e-04 7.523074e-02
1.621810e-03 5.312571e-01 3.862377e+04 9.814896e-01 7.572900e+05 6.026322e+01 -6.378815e-02 1.386445e+02 1.530016e-04 7.695677e-02
1.659587e-03 5.431612e-01 3.751729e+04 9.385480e-01 7.555353e+05 6.012359e+01 -7.748862e-02 6.003990e+01 1.442631e-04 7.206745e-02
1.698244e-03 5.574727e-01 3.647614e+04 9.340511e-01 7.694613e+05 6.123178e+01 3.610140e-02 4.758491e+01 1.560229e-04 6.962285e-02
1.737801e-03 5.599677e-01 3.548111e+04 9.336675e-01 7.556963e+05 6.013640e+01 2.449546e-03 8.851756e+01 1.564193e-04 6.738296e-02
1.778279e-03 5.602559e-01 3.447571e+04 9.514338e-01 7.435462e+05 5.916952e+01 -9.627591e-02 6.884845e+01 1.477477e-04 6.706779e-02
1.819701e-03 5.685883e-01 3.351228e+04 9.509111e-01 6.998435e+05 5.569177e+01 -4.072707e-02 1.021108e+02 1.514424e-04 6.110590e-02
1.862087e-03 5.896180e-01 3.264042e+04 9.430585e-01 7.567928e+05 6.022365e+01 8.678622e-03 5.305443e+01 1.550590e-04 6.217892e-02
1.905461e-03 5.838000e-01 3.172649e+04 9.752239e-01 7.334618e+05 5.836703e+01 6.783482e-03 6.056055e+01 1.474428e-04 6.012775e-02
1.949845e-03 6.059185e-01 3.088906e+04 9.805277e-01 7.410940e+05 5.897438e+01 -1.594932e-02 1.050884e+02 1.627522e-04 5.794210e-02
1.995262e-03 6.036192e-01 3.001990e+04 9.752562e-01 7.292953e+05 5.803547e+01 2.144897e-03 1.054478e+02 1.526117e-04 5.591127e-02
2.041738e-03 6.042403e-01 2.920020e+04 8.865545e-01 6.738377e+05 5.362230e+01 -7.033964e-02 7.617318e+01 1.531301e-04 5.261172e-02
2.089296e-03 6.220695e-01 2.845786e+04 9.912213e-01 7.840865e+05 6.239562e+01 -4.697628e-02 7.617600e+01 1.577419e-04 5.731235e-02
2.137962e-03 6.246894e-01 2.767781e+04 9.296511e-01 7.402945e+05 5.891076e+01 -2.807793e-02 3.161921e+01 1.735231e-04 5.451865e-02
