#./double_munderdamped_3d --dev=1 --amp=10.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_20.0_5.0_0.99_1.0_10.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 7.502713e-01 7.303649e+04 8.756325e-01 6.679255e+05 5.315182e+01 8.111906e-02 8.931308e+01 1.546977e-04 3.345308e-02
1.023293e-03 7.516035e-01 7.060316e+04 9.871198e-01 6.967674e+05 5.544698e+01 -6.291498e-02 1.385804e+02 1.553062e-04 3.513708e-02
1.047129e-03 7.519342e-01 6.833908e+04 9.538787e-01 6.834440e+05 5.438674e+01 -4.607057e-02 7.516975e+01 1.668320e-04 3.570428e-02
1.071519e-03 7.474234e-01 6.610877e+04 1.010693e+00 7.095428e+05 5.646362e+01 -2.477418e-02 1.644314e+02 1.628172e-04 3.664079e-02
1.096478e-03 7.503710e-01 6.402195e+04 9.842734e-01 6.881190e+05 5.475877e+01 -2.667072e-02 2.258207e+02 1.635830e-04 3.450117e-02
1.122018e-03 7.482671e-01 6.199946e+04 9.472583e-01 6.476731e+05 5.154019e+01 3.865281e-02 6.902867e+01 1.570025e-04 3.329376e-02
1.148154e-03 7.482053e-01 6.002699e+04 8.964734e-01 6.128640e+05 4.877017e+01 1.079048e-01 7.099010e+01 1.532900e-04 3.192232e-02
1.174898e-03 7.584647e-01 5.819626e+04 9.831021e-01 7.261949e+05 5.778875e+01 1.446410e-02 8.067135e+01 1.722288e-04 3.686655e-02
1.202264e-03 7.487725e-01 5.637509e+04 9.933284e-01 7.241181e+05 5.762349e+01 3.314800e-02 1.061103e+02 1.580955e-04 3.724244e-02
1.230269e-03 7.484669e-01 5.463684e+04 9.808728e-01 6.744156e+05 5.366829e+01 1.379977e-02 5.920414e+01 1.609884e-04 3.376621e-02
1.258925e-03 7.550437e-01 5.302738e+04 1.001792e+00 7.370199e+05 5.865018e+01 2.392680e-02 6.567875e+01 1.759580e-04 3.723483e-02
1.288250e-03 7.642278e-01 5.143242e+04 9.828690e-01 6.578849e+05 5.235281e+01 -3.130815e-02 7.309075e+01 1.534237e-04 3.299609e-02
1.318257e-03 7.577023e-01 4.987273e+04 9.767850e-01 6.989453e+05 5.562030e+01 1.085591e-01 1.098715e+02 1.509364e-04 3.574757e-02
1.348963e-03 7.438665e-01 4.833375e+04 9.522389e-01 6.783639e+05 5.398248e+01 4.650682e-02 2.099323e+02 1.461171e-04 3.567557e-02
1.380384e-03 7.535771e-01 4.697778e+04 9.392040e-01 6.877401e+05 5.472862e+01 8.224134e-02 6.740159e+01 1.653859e-04 3.488558e-02
1.412538e-03 7.599434e-01 4.556699e+04 9.262192e-01 6.802851e+05 5.413537e+01 1.765718e-01 1.374044e+02 1.578352e-04 3.265250e-02
