#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=0.01 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.01.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.036649e-06 4.379488e+01 4.280158e-01 2.470638e-03 1.966071e-07 2.063796e+01 1.193440e+01 1.678691e-04 1.052765e+02
1.031177e-01 2.613252e-07 4.477708e+01 -4.855336e-02 1.658971e-03 1.320167e-07 1.536388e+01 1.065112e+01 1.724367e-04 1.472106e+03
1.063327e-01 5.232278e-07 4.574631e+01 2.762786e-01 2.225014e-03 1.770609e-07 1.019221e+01 1.385087e+01 1.601109e-04 4.414565e+02
1.096478e-01 -5.648142e-07 4.674305e+01 3.329462e-01 2.442198e-03 1.943439e-07 3.443744e+01 1.395904e+01 1.553780e-04 4.042327e+02
1.130663e-01 2.897436e-07 4.777385e+01 -3.252491e-01 1.385137e-03 1.102257e-07 1.278915e+01 1.479955e+01 1.679667e-04 1.186174e+03
1.165914e-01 -1.542805e-07 4.883393e+01 3.236409e-01 2.516277e-03 2.002389e-07 3.007525e+01 8.271239e+00 1.727413e-04 5.518632e+03
1.202264e-01 -3.684755e-07 4.996010e+01 -9.317226e-02 1.818833e-03 1.447381e-07 1.644664e+01 2.087026e+01 1.810950e-04 8.733847e+02
1.239748e-01 -3.834730e-07 5.114188e+01 -3.898279e-01 1.408351e-03 1.120730e-07 1.402980e+01 1.817633e+01 1.731597e-04 7.789122e+02
1.278400e-01 -2.267487e-07 5.228014e+01 -4.525009e-02 1.992262e-03 1.585392e-07 1.345167e+01 3.196271e+01 1.644977e-04 2.693682e+03
1.318257e-01 -1.406972e-07 5.346392e+01 1.626406e-01 2.415422e-03 1.922131e-07 1.302642e+01 3.663752e+01 1.785624e-04 8.401865e+03
