#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.1.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 3.965930e-08 4.277053e+00 -1.993645e-01 1.421907e-03 1.131518e-07 1.314950e+00 2.995501e+00 1.872736e-04 5.952747e+04
1.031177e-01 5.749494e-07 4.368147e+00 7.594574e-02 1.846319e-03 1.469254e-07 2.006979e+00 1.687802e+00 2.038314e-04 3.404610e+02
1.063327e-01 -1.993972e-07 4.463934e+00 -2.703167e-02 1.745490e-03 1.389017e-07 1.482077e+00 1.499376e+00 1.891505e-04 2.739227e+03
1.096478e-01 -6.214206e-07 4.562163e+00 2.035655e-01 2.184131e-03 1.738076e-07 2.509890e+00 9.683263e-01 2.062394e-04 3.339332e+02
1.130663e-01 -1.194863e-07 4.663761e+00 3.017955e-02 1.898706e-03 1.510942e-07 1.318388e+00 2.255073e+00 2.079856e-04 8.310137e+03
1.165914e-01 2.763096e-07 4.768697e+00 -6.098375e-02 1.776999e-03 1.414091e-07 1.608425e+00 1.866142e+00 2.041988e-04 1.378638e+03
1.202264e-01 -1.970005e-07 4.874857e+00 -3.914709e-02 1.890161e-03 1.504143e-07 1.752652e+00 1.419808e+00 1.992508e-04 3.113626e+03
1.239748e-01 2.864087e-07 4.987943e+00 3.448474e-02 2.056358e-03 1.636398e-07 1.148159e+00 1.004386e+00 2.137284e-04 1.561415e+03
1.278400e-01 -5.196851e-07 5.105708e+00 6.145071e-02 2.180276e-03 1.735008e-07 1.923085e+00 1.305445e+00 1.995431e-04 5.061806e+02
1.318257e-01 -4.246469e-07 5.227719e+00 -6.069851e-02 1.964782e-03 1.563523e-07 1.821463e+00 1.462102e+00 2.008231e-04 7.016706e+02
1.359356e-01 7.562210e-07 5.345596e+00 1.201573e-01 2.380232e-03 1.894129e-07 2.472212e+00 1.344364e+00 1.989216e-04 2.401565e+02
1.401737e-01 1.301258e-07 5.469371e+00 9.427741e-02 2.380257e-03 1.894149e-07 2.262622e+00 1.394384e+00 1.972049e-04 8.292356e+03
1.445440e-01 -5.486422e-07 5.598853e+00 -4.859811e-02 2.145424e-03 1.707274e-07 1.186308e+00 1.672190e+00 2.051270e-04 4.392042e+02
1.490505e-01 2.384678e-07 5.732675e+00 2.730670e-03 2.287674e-03 1.820473e-07 1.736335e+00 1.257243e+00 1.973587e-04 2.423992e+03
1.536975e-01 -5.052087e-07 5.875698e+00 -7.984141e-03 2.333576e-03 1.857001e-07 1.350255e+00 1.533989e+00 2.113896e-04 5.613654e+02
1.584893e-01 -7.251044e-08 6.015973e+00 -2.497718e-02 2.325771e-03 1.850790e-07 1.843002e+00 1.711968e+00 2.010512e-04 2.598124e+04
1.634306e-01 -6.183602e-07 6.156463e+00 -8.902432e-02 2.257989e-03 1.796850e-07 1.501258e+00 3.060738e+00 2.136173e-04 3.683996e+02
