#./overdamped_3d --dev=1 --amp=250.0 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_0.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
4.786294e-01 2.672273e-02 9.107270e-01 8.788616e+02 6.993446e-02 5.673921e-02 3.767836e-02
4.935517e-01 3.076291e-02 9.715158e-01 1.128814e+03 8.982525e-02 1.244581e-02 3.508377e-02
5.089393e-01 3.530435e-02 9.178762e-01 1.136950e+03 9.047244e-02 -2.530187e-02 3.026044e-02
5.248066e-01 4.070136e-02 8.797646e-01 1.305701e+03 1.039021e-01 -4.109037e-02 2.618074e-02
5.411686e-01 4.538793e-02 8.831397e-01 1.555477e+03 1.237765e-01 1.931885e-01 2.512968e-02
5.580408e-01 5.150164e-02 8.347270e-01 1.710632e+03 1.361483e-01 5.030954e-02 2.201951e-02
5.754390e-01 5.812930e-02 9.165181e-01 2.223735e+03 1.769529e-01 -1.061797e-03 2.234995e-02
5.933796e-01 6.582315e-02 8.788334e-01 2.340064e+03 1.862362e-01 1.484568e-01 1.984334e-02
6.118796e-01 7.395888e-02 9.001527e-01 2.897557e+03 2.305733e-01 1.453886e-01 1.889491e-02
6.309564e-01 8.210785e-02 8.821136e-01 3.174468e+03 2.526237e-01 2.180804e-01 1.772511e-02
6.506279e-01 9.210417e-02 9.493958e-01 3.671691e+03 2.922383e-01 1.548768e-01 1.707232e-02
6.709126e-01 1.017875e-01 8.995622e-01 3.675969e+03 2.925343e-01 -6.207049e-03 1.397479e-02
6.918299e-01 1.126414e-01 8.553651e-01 4.151404e+03 3.303336e-01 8.052051e-02 1.314056e-02
7.133992e-01 1.246985e-01 9.380352e-01 4.549063e+03 3.620526e-01 -1.071761e-01 1.153326e-02
7.356411e-01 1.379256e-01 8.610781e-01 4.776286e+03 3.799775e-01 -5.967659e-02 1.036906e-02
7.585764e-01 1.518153e-01 9.205924e-01 5.441817e+03 4.329910e-01 -1.157624e-02 1.034188e-02
7.822267e-01 1.676650e-01 9.273368e-01 6.265584e+03 4.985230e-01 -9.616715e-02 9.815454e-03
8.066144e-01 1.832983e-01 9.750096e-01 7.030523e+03 5.592904e-01 -3.651136e-02 9.061098e-03
8.317624e-01 2.010383e-01 9.749231e-01 7.819800e+03 6.221964e-01 5.412459e-03 8.118272e-03
8.576946e-01 2.188878e-01 9.027838e-01 8.251649e+03 6.566932e-01 -2.618462e-02 7.933140e-03
8.844351e-01 2.383837e-01 9.917783e-01 9.006515e+03 7.169533e-01 -1.036032e-01 7.319331e-03
9.120094e-01 2.581750e-01 1.002970e+00 1.027441e+04 8.178575e-01 -6.801748e-02 7.187128e-03
9.404434e-01 2.800908e-01 1.003795e+00 1.158048e+04 9.216663e-01 -9.378010e-02 7.585287e-03
9.697639e-01 3.034495e-01 1.005245e+00 1.257347e+04 9.999307e-01 -6.990546e-02 6.910682e-03
9.999985e-01 3.289948e-01 9.550062e-01 1.293296e+04 1.029295e+00 -6.346178e-02 6.466508e-03
1.031176e+00 3.544935e-01 9.697570e-01 1.400323e+04 1.113925e+00 -8.910948e-02 6.162167e-03
1.063325e+00 3.808486e-01 1.036291e+00 1.703936e+04 1.355722e+00 -3.864813e-02 6.363869e-03
1.096476e+00 4.103085e-01 1.048860e+00 1.900252e+04 1.512052e+00 4.624844e-02 6.176472e-03
1.130662e+00 4.417891e-01 1.031229e+00 1.923229e+04 1.530553e+00 -2.875078e-02 5.372047e-03
1.165913e+00 4.722226e-01 9.686568e-01 2.100995e+04 1.671604e+00 -1.928246e-02 5.586267e-03
1.202263e+00 5.061930e-01 9.804871e-01 2.172448e+04 1.729616e+00 -3.015393e-02 4.843354e-03
1.239746e+00 5.395336e-01 9.920387e-01 2.245575e+04 1.789140e+00 9.934306e-03 4.715085e-03
1.278398e+00 5.743490e-01 9.878013e-01 2.463253e+04 1.961505e+00 3.413439e-03 4.389286e-03
1.318255e+00 6.121972e-01 9.659175e-01 2.597904e+04 2.067343e+00 -5.124563e-02 4.203439e-03
1.359354e+00 6.516492e-01 9.704191e-01 2.646004e+04 2.107848e+00 1.347589e-02 4.054308e-03
1.401735e+00 6.922805e-01 9.427384e-01 2.669441e+04 2.124719e+00 -4.590046e-02 3.674507e-03
1.445438e+00 7.326923e-01 9.952509e-01 3.071185e+04 2.442869e+00 -7.853031e-03 3.772259e-03
1.490502e+00 7.777396e-01 9.638384e-01 2.996829e+04 2.382072e+00 4.827261e-02 3.381371e-03
1.536972e+00 8.216879e-01 9.666612e-01 3.244997e+04 2.584676e+00 -1.882219e-02 3.627300e-03
1.584891e+00 8.689327e-01 9.037616e-01 3.214951e+04 2.556983e+00 -2.031153e-02 3.003001e-03
1.634303e+00 9.159854e-01 9.813238e-01 3.535711e+04 2.810995e+00 -7.040304e-02 3.094316e-03
1.685256e+00 9.643290e-01 8.505092e-01 3.690608e+04 2.937682e+00 -4.963136e-02 2.840638e-03
1.737798e+00 1.015765e+00 9.475349e-01 3.945958e+04 3.141400e+00 -2.449745e-02 2.687454e-03
1.791978e+00 1.066855e+00 9.063261e-01 3.608648e+04 2.870519e+00 3.157508e-02 2.468348e-03
1.847847e+00 1.122900e+00 8.328733e-01 3.859770e+04 3.075510e+00 -5.810624e-02 2.216220e-03
1.905458e+00 1.176844e+00 9.064487e-01 4.370584e+04 3.474989e+00 -2.095270e-02 2.358556e-03
1.964865e+00 1.233924e+00 8.823599e-01 4.486796e+04 3.575893e+00 5.881059e-02 2.254844e-03
2.026124e+00 1.289809e+00 9.628546e-01 4.878374e+04 3.888792e+00 -2.176648e-02 2.287269e-03
2.089293e+00 1.351272e+00 9.179592e-01 4.965956e+04 3.948953e+00 4.591763e-02 1.996279e-03
2.154431e+00 1.410857e+00 8.865330e-01 5.008315e+04 3.982057e+00 7.727611e-02 1.935363e-03
2.221600e+00 1.475092e+00 9.443961e-01 5.755997e+04 4.584299e+00 3.544962e-02 2.057552e-03
2.290864e+00 1.534876e+00 9.463582e-01 5.746390e+04 4.576023e+00 -2.585042e-02 2.002120e-03
2.362287e+00 1.600424e+00 9.777068e-01 5.840214e+04 4.658147e+00 1.025760e-02 1.867533e-03
2.435936e+00 1.668357e+00 8.919115e-01 6.002134e+04 4.788654e+00 3.615129e-02 1.846790e-03
2.511882e+00 1.733799e+00 9.543804e-01 6.474056e+04 5.162987e+00 5.749929e-02 1.790524e-03
2.590195e+00 1.801650e+00 1.058286e+00 7.827043e+04 6.219139e+00 8.449054e-02 1.896739e-03
2.670950e+00 1.867477e+00 9.793530e-01 7.185705e+04 5.713026e+00 1.460682e-01 1.781821e-03
2.754223e+00 1.936571e+00 9.828060e-01 8.051246e+04 6.385296e+00 1.887418e-01 1.801848e-03
2.840092e+00 2.007658e+00 9.480091e-01 7.844905e+04 6.231235e+00 1.678325e-01 1.558661e-03
2.928639e+00 2.077769e+00 9.307430e-01 7.956280e+04 6.358559e+00 6.938839e-02 1.569748e-03
