#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> 1D_double_s:-1:3:300:1_250.0_5.0_0.99_1.0_1.0.dat
#s <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
2.928645e-01 2.536870e-08 9.972795e-01 -2.702554e-02 3.899622e-03 3.103220e-07 1.459306e-01 5.951238e-02 5.521512e-04 3.693089e+05
3.019952e-01 8.933769e-07 1.023628e+00 -2.400146e-02 3.991967e-03 3.176706e-07 3.498877e-01 9.226675e-02 5.632445e-04 2.983027e+02
3.114106e-01 3.427886e-07 1.054023e+00 -7.666045e-02 3.947642e-03 3.141433e-07 -4.723292e-02 2.724179e-01 5.868163e-04 2.268482e+03
3.211195e-01 6.360009e-08 1.081427e+00 1.897847e-02 4.408835e-03 3.508439e-07 1.564920e-01 1.246691e-01 5.722657e-04 6.757996e+04
3.311311e-01 -7.328602e-08 1.111321e+00 8.625763e-03 4.480380e-03 3.565373e-07 3.129416e-01 2.103506e-01 5.527740e-04 5.466029e+04
3.414549e-01 1.812092e-07 1.140669e+00 -1.404260e-02 4.538335e-03 3.611492e-07 1.060553e-01 1.291734e-01 5.730453e-04 9.184762e+03
3.521005e-01 1.374756e-08 1.173891e+00 1.017746e-01 5.133136e-03 4.084820e-07 3.085037e-01 1.996657e-01 5.229406e-04 1.531985e+06
3.630781e-01 -3.447414e-07 1.205777e+00 -2.708134e-02 4.698144e-03 3.738664e-07 4.656982e-01 3.480602e-01 5.699828e-04 2.544616e+03
3.743978e-01 -2.414844e-07 1.239210e+00 -2.070467e-02 4.845579e-03 3.855989e-07 1.704392e-01 1.837518e-01 5.441106e-04 5.201643e+03
3.860705e-01 -3.984668e-07 1.273195e+00 -6.360241e-03 5.065674e-03 4.031136e-07 6.757121e-02 1.760572e-01 5.554111e-04 2.043696e+03
3.981072e-01 2.179135e-07 1.309811e+00 3.090609e-02 5.422618e-03 4.315183e-07 1.409861e-01 2.291092e-01 5.648272e-04 7.482583e+03
4.105191e-01 2.046053e-08 1.347217e+00 1.359053e-02 5.483820e-03 4.363885e-07 1.241079e-01 9.362648e-02 5.857448e-04 8.400541e+05
4.233179e-01 6.200099e-07 1.384686e+00 1.887423e-03 5.575812e-03 4.437090e-07 1.801666e-01 1.730420e-01 6.084148e-04 8.852093e+02
4.365158e-01 -4.302437e-08 1.422118e+00 2.703065e-02 5.891839e-03 4.688576e-07 3.256118e-01 1.513350e-01 5.908951e-04 2.074604e+05
4.501252e-01 -4.385227e-07 1.461251e+00 8.799908e-04 5.881761e-03 4.680556e-07 3.263501e-02 1.479854e-01 5.411365e-04 1.961294e+03
4.641589e-01 -7.461517e-07 1.505540e+00 -9.060529e-03 5.976790e-03 4.756179e-07 2.563626e-01 1.917143e-01 5.750746e-04 6.517399e+02
4.786301e-01 1.008234e-06 1.546627e+00 -5.728230e-03 6.134974e-03 4.882057e-07 2.332503e-01 1.080003e-01 5.940419e-04 3.686549e+02
4.935525e-01 -2.453646e-08 1.591257e+00 -4.394661e-02 6.105670e-03 4.858738e-07 1.879970e-01 2.915364e-01 6.009125e-04 6.424021e+05
5.089401e-01 -6.082627e-07 1.636936e+00 -8.388901e-02 6.063577e-03 4.825241e-07 1.294627e-01 3.979594e-01 5.643680e-04 1.016415e+03
5.248075e-01 -4.658651e-07 1.684823e+00 2.118559e-02 6.902188e-03 5.492586e-07 3.504992e-01 2.046577e-01 5.615450e-04 2.022564e+03
5.411695e-01 4.579721e-07 1.731824e+00 -4.377342e-03 6.952525e-03 5.532643e-07 7.122156e-02 5.610989e-02 5.422531e-04 2.079284e+03
5.580417e-01 1.333783e-07 1.783327e+00 -1.317555e-01 6.393791e-03 5.088017e-07 7.459308e-02 1.957256e-01 5.803792e-04 2.572865e+04
5.754399e-01 -4.204937e-08 1.834662e+00 8.418121e-02 7.926236e-03 6.307498e-07 1.613250e-01 1.302279e-01 5.441174e-04 2.456654e+05
5.933806e-01 1.067364e-07 1.886488e+00 3.726454e-02 7.824773e-03 6.226757e-07 3.161560e-01 1.678599e-01 6.033132e-04 4.169148e+04
6.118806e-01 1.587042e-06 1.943313e+00 -3.824620e-02 7.590501e-03 6.040329e-07 9.192767e-02 1.383257e-01 6.093090e-04 2.059804e+02
6.309573e-01 8.690895e-07 1.997875e+00 6.673481e-02 8.542209e-03 6.797674e-07 3.084393e-01 1.901561e-01 5.417692e-04 7.103660e+02
6.506289e-01 -2.391937e-08 2.056645e+00 5.718863e-02 8.746314e-03 6.960095e-07 1.605723e-01 2.113757e-01 6.061257e-04 9.238585e+05
6.709137e-01 3.491840e-07 2.116700e+00 9.664549e-02 9.321109e-03 7.417502e-07 2.364090e-01 1.415099e-01 5.145984e-04 4.741641e+03
6.918310e-01 7.858644e-07 2.180463e+00 -3.383370e-02 8.437737e-03 6.714538e-07 3.959215e-01 2.392060e-01 5.288213e-04 8.538414e+02
7.134004e-01 2.450359e-07 2.243391e+00 4.759950e-02 9.391442e-03 7.473472e-07 2.287680e-01 2.948848e-01 5.738254e-04 9.686239e+03
7.356423e-01 3.000171e-07 2.306019e+00 -3.507812e-02 8.946977e-03 7.119778e-07 5.271432e-02 3.682639e-02 6.179373e-04 6.080640e+03
7.585776e-01 -2.786654e-09 2.375442e+00 -8.482674e-02 8.870915e-03 7.059250e-07 7.413205e-02 2.475965e-01 5.513603e-04 7.657374e+07
7.822280e-01 -4.878073e-07 2.447676e+00 -4.902151e-02 9.381307e-03 7.465407e-07 1.437006e-01 9.389518e-03 5.539024e-04 2.502691e+03
8.066157e-01 1.600645e-07 2.518167e+00 -5.865799e-02 9.595222e-03 7.635635e-07 1.504711e-01 2.982924e-01 5.592625e-04 2.310648e+04
8.317638e-01 5.981988e-07 2.594838e+00 -4.920609e-02 1.005832e-02 8.004158e-07 9.333343e-02 5.475542e-02 5.600002e-04 1.846757e+03
8.576959e-01 2.195892e-07 2.670790e+00 -2.085515e-02 1.051924e-02 8.370943e-07 1.183293e-01 2.408280e-01 5.947583e-04 1.401762e+04
8.844365e-01 -1.529011e-06 2.750983e+00 -4.805042e-02 1.058684e-02 8.424738e-07 3.307970e-02 2.013689e-01 5.896582e-04 3.120415e+02
9.120108e-01 1.707518e-07 2.828111e+00 -6.613338e-02 1.073667e-02 8.543972e-07 8.498285e-02 2.075148e-01 5.162557e-04 2.380827e+04
9.404449e-01 -5.699717e-07 2.911884e+00 2.424028e-03 1.177243e-02 9.368198e-07 6.853290e-02 1.254607e-01 5.464559e-04 2.130715e+03
9.697654e-01 -8.138650e-07 3.000060e+00 6.187574e-02 1.268060e-02 1.009090e-06 2.358650e-01 9.754949e-02 5.670815e-04 1.114198e+03
1.000000e+00 -1.630619e-06 3.087218e+00 -3.282179e-02 1.207228e-02 9.606813e-07 2.234866e-01 7.352845e-02 5.741377e-04 2.829479e+02
1.031177e+00 -8.186700e-07 3.181482e+00 9.432142e-03 1.296419e-02 1.031657e-06 1.415435e-01 2.667467e-01 5.448272e-04 1.296615e+03
1.063327e+00 -1.989086e-06 3.277525e+00 -4.016778e-02 1.275921e-02 1.015345e-06 1.745709e-01 1.178650e-01 5.787894e-04 2.141878e+02
1.096478e+00 -1.957914e-06 3.372889e+00 3.137674e-02 1.408162e-02 1.120579e-06 7.036986e-02 1.771575e-01 5.402501e-04 2.439740e+02
1.130663e+00 -8.104658e-08 3.474239e+00 -4.123231e-02 1.354074e-02 1.077538e-06 1.267986e-01 2.272190e-01 5.182928e-04 1.374988e+05
1.165914e+00 4.250995e-07 3.578506e+00 -1.303290e-01 1.278798e-02 1.017635e-06 1.951805e-01 2.802725e-01 5.698767e-04 4.461170e+03
1.202264e+00 -2.163551e-07 3.689356e+00 7.626764e-02 1.594639e-02 1.268973e-06 3.231547e-01 2.825939e-01 5.596245e-04 2.045213e+04
1.239748e+00 1.884181e-06 3.802472e+00 1.502300e-03 1.537983e-02 1.223888e-06 2.334201e-01 -2.292494e-02 6.096388e-04 2.590989e+02
1.278400e+00 -5.367248e-07 3.905896e+00 -8.118887e-02 1.464783e-02 1.165637e-06 1.183263e-01 5.948496e-01 5.666737e-04 3.163521e+03
1.318257e+00 2.272807e-06 4.028505e+00 1.878297e-02 1.656961e-02 1.318568e-06 1.475550e-01 9.660927e-02 5.348477e-04 2.018108e+02
1.359356e+00 2.246827e-07 4.152847e+00 -8.620583e-03 1.652888e-02 1.315326e-06 1.487885e-01 1.095630e-01 5.355485e-04 1.970269e+04
1.401737e+00 -2.741361e-07 4.277398e+00 -4.152239e-02 1.668227e-02 1.327533e-06 2.864636e-01 3.429222e-01 5.711701e-04 1.446499e+04
1.445440e+00 9.374744e-07 4.402213e+00 -4.283301e-02 1.707788e-02 1.359014e-06 1.361543e-01 2.282199e-01 5.345026e-04 1.224140e+03
1.490505e+00 1.028629e-07 4.537842e+00 -3.658624e-02 1.769578e-02 1.408185e-06 3.429427e-01 1.546378e-01 5.451839e-04 1.057202e+05
1.536975e+00 -1.415785e-07 4.673329e+00 -4.288775e-02 1.820095e-02 1.448385e-06 1.752393e-01 7.791391e-02 5.845328e-04 5.651015e+04
1.584893e+00 -4.747038e-07 4.814268e+00 2.166455e-02 1.997895e-02 1.589874e-06 1.118163e-01 1.659003e-01 5.908963e-04 5.133056e+03
1.634306e+00 -1.185967e-06 4.959454e+00 -1.302294e-03 2.010821e-02 1.600160e-06 1.997368e-01 1.839656e-01 5.546493e-04 9.142869e+02
1.685259e+00 1.247938e-07 5.109040e+00 -2.581475e-02 2.008341e-02 1.598187e-06 1.740226e-01 2.721358e-01 5.594816e-04 8.246094e+04
1.737801e+00 3.688215e-07 5.265893e+00 -8.223375e-02 1.979782e-02 1.575460e-06 1.826838e-01 7.375988e-02 5.391985e-04 9.660517e+03
1.791981e+00 -6.314241e-07 5.427346e+00 -4.197148e-02 2.098686e-02 1.670081e-06 1.904786e-01 6.920837e-02 6.328523e-04 3.331518e+03
1.847850e+00 -1.632155e-06 5.593416e+00 3.223916e-02 2.328246e-02 1.852759e-06 2.956157e-01 1.974502e-01 5.475867e-04 5.428892e+02
1.905461e+00 -4.628042e-07 5.753571e+00 8.083185e-02 2.492197e-02 1.983227e-06 2.867785e-01 1.543357e-01 5.651195e-04 6.973400e+03
