#./double_munderdamped_3d --dev=1 --amp=10.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_50.0_5.0_0.99_1.0_10.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 1.226586e+00 1.822726e+05 1.017700e+00 1.649611e+06 1.312719e+02 9.733130e-02 8.113332e+01 1.455286e-04 3.068720e-02
1.023293e-03 1.237874e+00 1.763351e+05 9.349892e-01 1.544406e+06 1.228999e+02 1.356432e-01 9.648521e+01 1.568616e-04 2.837683e-02
1.047129e-03 1.226136e+00 1.705779e+05 9.392209e-01 1.529414e+06 1.217069e+02 -2.545870e-02 7.930145e+01 1.625166e-04 2.874128e-02
1.071519e-03 1.229259e+00 1.650341e+05 9.752961e-01 1.614844e+06 1.285052e+02 1.033070e-01 7.981779e+01 1.650585e-04 3.016385e-02
1.096478e-03 1.226783e+00 1.598046e+05 9.268259e-01 1.420342e+06 1.130272e+02 1.814193e-02 6.865344e+01 1.420827e-04 2.730264e-02
1.122018e-03 1.219556e+00 1.546992e+05 9.823788e-01 1.496251e+06 1.190679e+02 7.398628e-02 1.224808e+02 1.496468e-04 2.922049e-02
1.148154e-03 1.226308e+00 1.499079e+05 9.189350e-01 1.532797e+06 1.219761e+02 6.267860e-02 8.357864e+01 1.621075e-04 2.943677e-02
1.174898e-03 1.228713e+00 1.452675e+05 9.920088e-01 1.531760e+06 1.218936e+02 1.006293e-01 4.999645e+01 1.550872e-04 2.969242e-02
1.202264e-03 1.212996e+00 1.406970e+05 9.604342e-01 1.462784e+06 1.164046e+02 1.028336e-01 5.362021e+01 1.637458e-04 2.827963e-02
1.230269e-03 1.227233e+00 1.364627e+05 9.570735e-01 1.545399e+06 1.229790e+02 -4.078569e-02 1.017683e+02 1.482745e-04 2.972311e-02
1.258925e-03 1.227501e+00 1.322603e+05 9.488726e-01 1.553453e+06 1.236199e+02 1.826118e-02 1.210839e+02 1.591184e-04 2.938548e-02
1.288250e-03 1.217451e+00 1.282343e+05 1.009450e+00 1.542505e+06 1.227486e+02 1.191741e-01 9.930977e+01 1.628131e-04 3.154479e-02
1.318257e-03 1.248736e+00 1.246261e+05 9.711545e-01 1.565238e+06 1.245577e+02 2.150390e-02 7.431450e+01 1.574422e-04 2.894597e-02
1.348963e-03 1.238126e+00 1.208456e+05 9.162507e-01 1.499574e+06 1.193323e+02 8.240801e-02 1.245938e+02 1.618378e-04 2.841156e-02
1.380384e-03 1.235802e+00 1.173052e+05 9.572758e-01 1.544364e+06 1.228966e+02 1.045419e-01 2.011263e+02 1.439004e-04 2.946677e-02
1.412538e-03 1.229720e+00 1.138070e+05 8.654494e-01 1.421985e+06 1.131580e+02 -7.484592e-02 7.525413e+01 1.603320e-04 2.622919e-02
1.445440e-03 1.237256e+00 1.105447e+05 9.508464e-01 1.585032e+06 1.261329e+02 7.975777e-02 7.547566e+01 1.515233e-04 3.038744e-02
1.479108e-03 1.238893e+00 1.073245e+05 9.129318e-01 1.490372e+06 1.186001e+02 3.881030e-02 1.509836e+02 1.503136e-04 2.808889e-02
1.513561e-03 1.233551e+00 1.042661e+05 9.836000e-01 1.564076e+06 1.244652e+02 3.530739e-02 3.822261e+01 1.551065e-04 2.910373e-02
1.548817e-03 1.231754e+00 1.012286e+05 9.541803e-01 1.602802e+06 1.275469e+02 6.915624e-02 6.905875e+01 1.485095e-04 2.964225e-02
1.584893e-03 1.230959e+00 9.844780e+04 9.267562e-01 1.582121e+06 1.259012e+02 8.391441e-02 1.933232e+02 1.685820e-04 2.958009e-02
1.621810e-03 1.211693e+00 9.558033e+04 1.016136e+00 1.663373e+06 1.323670e+02 1.146917e-01 1.451397e+02 1.599610e-04 3.175362e-02
1.659587e-03 1.227990e+00 9.291256e+04 9.712274e-01 1.553770e+06 1.236450e+02 1.233641e-01 6.408678e+01 1.527210e-04 2.934186e-02
1.698244e-03 1.221352e+00 9.028914e+04 1.009474e+00 1.663054e+06 1.323416e+02 2.220240e-02 7.177858e+01 1.572546e-04 3.201396e-02
1.737801e-03 1.232452e+00 8.786664e+04 9.197567e-01 1.561820e+06 1.242857e+02 6.789183e-02 1.722633e+02 1.485956e-04 2.993818e-02
1.778279e-03 1.235867e+00 8.545685e+04 9.257751e-01 1.530265e+06 1.217746e+02 1.107638e-01 6.577536e+01 1.649974e-04 2.842082e-02
1.819701e-03 1.232335e+00 8.309173e+04 1.043100e+00 1.615521e+06 1.285590e+02 2.216294e-01 7.646119e+01 1.556221e-04 3.146545e-02
1.862087e-03 1.226847e+00 8.077513e+04 9.741785e-01 1.645481e+06 1.309432e+02 1.840405e-01 6.708400e+01 1.541242e-04 3.047588e-02
1.905461e-03 1.222843e+00 7.859173e+04 1.009975e+00 1.598313e+06 1.271897e+02 -2.977252e-02 5.381036e+01 1.463280e-04 2.968528e-02
