#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_50.0_5.0_0.99_1.0_250.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 1.721639e+00 1.837227e+05 9.898200e-01 1.582152e+06 1.259036e+02 1.261102e-01 1.066070e+02 1.583292e-04 1.561975e-02
1.023293e-03 1.722483e+00 1.777757e+05 9.822464e-01 1.617856e+06 1.287449e+02 9.884955e-02 1.434543e+02 1.541905e-04 1.510535e-02
1.047129e-03 1.719070e+00 1.719266e+05 9.649468e-01 1.519526e+06 1.209201e+02 1.172502e-01 1.459907e+02 1.616221e-04 1.492039e-02
1.071519e-03 1.720775e+00 1.664205e+05 9.322674e-01 1.553409e+06 1.236164e+02 1.519801e-01 2.599736e+02 1.545056e-04 1.533228e-02
1.096478e-03 1.736313e+00 1.612812e+05 9.165451e-01 1.480299e+06 1.177985e+02 3.388277e-02 1.038603e+02 1.459479e-04 1.370488e-02
1.122018e-03 1.735891e+00 1.562191e+05 9.612246e-01 1.564928e+06 1.245330e+02 8.340802e-02 1.254425e+02 1.441993e-04 1.417655e-02
1.148154e-03 1.729043e+00 1.512519e+05 1.000765e+00 1.584622e+06 1.261002e+02 6.112384e-02 7.503329e+01 1.577759e-04 1.527470e-02
1.174898e-03 1.743182e+00 1.466157e+05 9.752975e-01 1.564165e+06 1.244723e+02 1.451959e-01 8.941103e+01 1.510932e-04 1.445652e-02
1.202264e-03 1.740543e+00 1.421469e+05 9.840856e-01 1.499417e+06 1.193198e+02 -2.002190e-02 2.114220e+02 1.492031e-04 1.396018e-02
1.230269e-03 1.743218e+00 1.378185e+05 9.639153e-01 1.574317e+06 1.252801e+02 4.818225e-02 6.861360e+01 1.560949e-04 1.456964e-02
1.258925e-03 1.762889e+00 1.338055e+05 9.548758e-01 1.503029e+06 1.196073e+02 2.022234e-02 1.497209e+02 1.459694e-04 1.402183e-02
1.288250e-03 1.750217e+00 1.296783e+05 1.029906e+00 1.633626e+06 1.299998e+02 1.167173e-01 6.772294e+01 1.492886e-04 1.567561e-02
1.318257e-03 1.751229e+00 1.258205e+05 9.179554e-01 1.430538e+06 1.138386e+02 8.928070e-02 6.568922e+01 1.543853e-04 1.323487e-02
1.348963e-03 1.760052e+00 1.220825e+05 9.888409e-01 1.581207e+06 1.258285e+02 2.040185e-01 3.312566e+01 1.557851e-04 1.437296e-02
1.380384e-03 1.769918e+00 1.185558e+05 9.880718e-01 1.564622e+06 1.245087e+02 8.154299e-02 6.966886e+01 1.553916e-04 1.416844e-02
1.412538e-03 1.778478e+00 1.151537e+05 9.670553e-01 1.562589e+06 1.243469e+02 1.040809e-01 9.342004e+01 1.525518e-04 1.374960e-02
1.445440e-03 1.772915e+00 1.117600e+05 1.002730e+00 1.607361e+06 1.279097e+02 1.324163e-02 1.643943e+02 1.550304e-04 1.461265e-02
1.479108e-03 1.785361e+00 1.086421e+05 9.727479e-01 1.539876e+06 1.225395e+02 1.860131e-01 1.080099e+02 1.446189e-04 1.366558e-02
1.513561e-03 1.779161e+00 1.054555e+05 1.006952e+00 1.587467e+06 1.263266e+02 1.468486e-01 5.640463e+01 1.524461e-04 1.409107e-02
1.548817e-03 1.780685e+00 1.024839e+05 1.006543e+00 1.588310e+06 1.263937e+02 2.227589e-01 8.496686e+01 1.393320e-04 1.374933e-02
1.584893e-03 1.778765e+00 9.949953e+04 9.870999e-01 1.556678e+06 1.238765e+02 1.233564e-02 1.590790e+02 1.581259e-04 1.375339e-02
1.621810e-03 1.790085e+00 9.675709e+04 1.041301e+00 1.591593e+06 1.266549e+02 8.455554e-02 6.518705e+01 1.664185e-04 1.435182e-02
1.659587e-03 1.801121e+00 9.410950e+04 9.691204e-01 1.499665e+06 1.193396e+02 1.244335e-01 4.223555e+01 1.547053e-04 1.356522e-02
1.698244e-03 1.789991e+00 9.143802e+04 9.196143e-01 1.335964e+06 1.063126e+02 1.050479e-01 7.971742e+01 1.402444e-04 1.166292e-02
1.737801e-03 1.786087e+00 8.894829e+04 9.497789e-01 1.425364e+06 1.134268e+02 1.339315e-01 1.230687e+02 1.468167e-04 1.219077e-02
1.778279e-03 1.797361e+00 8.650079e+04 9.036729e-01 1.389846e+06 1.106004e+02 9.930146e-02 2.649618e+02 1.420266e-04 1.242698e-02
1.819701e-03 1.807338e+00 8.415092e+04 9.622052e-01 1.465019e+06 1.165825e+02 -4.055114e-02 5.340670e+01 1.556247e-04 1.314858e-02
1.862087e-03 1.795440e+00 8.186378e+04 9.540390e-01 1.506460e+06 1.198803e+02 4.280880e-02 2.778244e+02 1.562334e-04 1.342259e-02
1.905461e-03 1.793059e+00 7.957489e+04 9.391904e-01 1.448169e+06 1.152416e+02 -3.802593e-02 5.177898e+01 1.574844e-04 1.309861e-02
1.949845e-03 1.804666e+00 7.744928e+04 9.520866e-01 1.438161e+06 1.144452e+02 1.227302e-01 7.663463e+01 1.433104e-04 1.283902e-02
1.995262e-03 1.811448e+00 7.543589e+04 1.004386e+00 1.549769e+06 1.233267e+02 1.501244e-01 5.980825e+01 1.568994e-04 1.346965e-02
2.041738e-03 1.809223e+00 7.336250e+04 9.703198e-01 1.366215e+06 1.087199e+02 1.132979e-01 7.191939e+01 1.599719e-04 1.210799e-02
2.089296e-03 1.824438e+00 7.145191e+04 9.756496e-01 1.484498e+06 1.181326e+02 8.030457e-02 5.337555e+01 1.548807e-04 1.253410e-02
2.137962e-03 1.795162e+00 6.946225e+04 9.712608e-01 1.476035e+06 1.174591e+02 5.340105e-02 3.690537e+01 1.535901e-04 1.281838e-02
2.187762e-03 1.809630e+00 6.766828e+04 9.404171e-01 1.376278e+06 1.095207e+02 8.051412e-02 6.319527e+01 1.558034e-04 1.189348e-02
2.238721e-03 1.801180e+00 6.588399e+04 9.430276e-01 1.420473e+06 1.130377e+02 1.308924e-01 5.132374e+01 1.502061e-04 1.223104e-02
2.290868e-03 1.806045e+00 6.414883e+04 9.800536e-01 1.440507e+06 1.146319e+02 8.893309e-02 1.670810e+02 1.487236e-04 1.249629e-02
2.344229e-03 1.807055e+00 6.245509e+04 9.267366e-01 1.470863e+06 1.170476e+02 5.517869e-02 4.314428e+01 1.538324e-04 1.274107e-02
2.398833e-03 1.804878e+00 6.084877e+04 9.482590e-01 1.389584e+06 1.105796e+02 1.353750e-01 1.022494e+02 1.433630e-04 1.198967e-02
2.454709e-03 1.817897e+00 5.925908e+04 9.585232e-01 1.472458e+06 1.171745e+02 1.718375e-01 2.472154e+01 1.611085e-04 1.221844e-02
2.511886e-03 1.816254e+00 5.773460e+04 9.838648e-01 1.509977e+06 1.201601e+02 1.735647e-01 4.151558e+01 1.596500e-04 1.346947e-02
2.570396e-03 1.819948e+00 5.622167e+04 9.705790e-01 1.475055e+06 1.173811e+02 2.052698e-01 8.300912e+01 1.607121e-04 1.308036e-02
2.630268e-03 1.807445e+00 5.477943e+04 9.905275e-01 1.480349e+06 1.178024e+02 6.787931e-02 4.541539e+01 1.599811e-04 1.251427e-02
2.691535e-03 1.820876e+00 5.338193e+04 9.895611e-01 1.419305e+06 1.129447e+02 7.094426e-02 3.052760e+01 1.589544e-04 1.237229e-02
2.754229e-03 1.805736e+00 5.201210e+04 1.009390e+00 1.506034e+06 1.198464e+02 4.781030e-02 4.201527e+01 1.590224e-04 1.302628e-02
2.818383e-03 1.811104e+00 5.066998e+04 1.001838e+00 1.431100e+06 1.138833e+02 1.236147e-01 3.787666e+01 1.559489e-04 1.232769e-02
2.884032e-03 1.808702e+00 4.938921e+04 9.650786e-01 1.352835e+06 1.076552e+02 1.307094e-01 3.108926e+01 1.581499e-04 1.177604e-02
2.951209e-03 1.809979e+00 4.811630e+04 9.885885e-01 1.412934e+06 1.124377e+02 8.790007e-02 2.556502e+01 1.459447e-04 1.212556e-02
3.019952e-03 1.822140e+00 4.694751e+04 9.477818e-01 1.360420e+06 1.082588e+02 1.504524e-01 3.576263e+01 1.604989e-04 1.222430e-02
3.090295e-03 1.812659e+00 4.574126e+04 9.489676e-01 1.337795e+06 1.064584e+02 1.717379e-02 2.903560e+01 1.560965e-04 1.183822e-02
3.162278e-03 1.818968e+00 4.459837e+04 9.551755e-01 1.386539e+06 1.103373e+02 1.618669e-01 6.305678e+01 1.474332e-04 1.188905e-02
3.235937e-03 1.818856e+00 4.344111e+04 9.563106e-01 1.324839e+06 1.054273e+02 7.254936e-02 5.354770e+01 1.431041e-04 1.151915e-02
3.311311e-03 1.819934e+00 4.237040e+04 9.749233e-01 1.346136e+06 1.071221e+02 7.227518e-02 4.516987e+01 1.566892e-04 1.217297e-02
3.388442e-03 1.826489e+00 4.131630e+04 9.889428e-01 1.445995e+06 1.150686e+02 1.034528e-01 3.503911e+01 1.537399e-04 1.212007e-02
3.467369e-03 1.838291e+00 4.027938e+04 9.444150e-01 1.414362e+06 1.125513e+02 4.403109e-02 3.044679e+01 1.489842e-04 1.173675e-02
3.548134e-03 1.823431e+00 3.926675e+04 1.015364e+00 1.423892e+06 1.133098e+02 8.036418e-02 2.782923e+01 1.564547e-04 1.243407e-02
3.630781e-03 1.826332e+00 3.828722e+04 1.008354e+00 1.389916e+06 1.106060e+02 1.169746e-01 1.067649e+02 1.447829e-04 1.185072e-02
3.715352e-03 1.827515e+00 3.733896e+04 9.772528e-01 1.346162e+06 1.071241e+02 2.274033e-01 4.057084e+01 1.607297e-04 1.160967e-02
3.801894e-03 1.829795e+00 3.640780e+04 9.092632e-01 1.292413e+06 1.028470e+02 9.319843e-02 2.676918e+01 1.508428e-04 1.097460e-02
3.890451e-03 1.838624e+00 3.552113e+04 1.013979e+00 1.389661e+06 1.105857e+02 1.218734e-01 5.523779e+01 1.449969e-04 1.192732e-02
3.981072e-03 1.833513e+00 3.464918e+04 9.137597e-01 1.277016e+06 1.016217e+02 1.648095e-01 1.287139e+02 1.538742e-04 1.101315e-02
4.073803e-03 1.832190e+00 3.378245e+04 9.832578e-01 1.350139e+06 1.074406e+02 2.158053e-01 3.233610e+01 1.585031e-04 1.179030e-02
4.168694e-03 1.847787e+00 3.297597e+04 9.643355e-01 1.352433e+06 1.076232e+02 2.574158e-01 1.176206e+02 1.658236e-04 1.117231e-02
4.265795e-03 1.832556e+00 3.215047e+04 9.841741e-01 1.308709e+06 1.041438e+02 6.603461e-03 2.333716e+01 1.558329e-04 1.102713e-02
4.365158e-03 1.849648e+00 3.139165e+04 8.813351e-01 1.236829e+06 9.842372e+01 8.470896e-02 4.565897e+01 1.555626e-04 1.023898e-02
4.466836e-03 1.852863e+00 3.061444e+04 9.693921e-01 1.241967e+06 9.883257e+01 1.130274e-01 3.472836e+01 1.515230e-04 1.042415e-02
4.570882e-03 1.863543e+00 2.988796e+04 9.481340e-01 1.285684e+06 1.023115e+02 6.656095e-02 2.847341e+01 1.542988e-04 1.065683e-02
4.677351e-03 1.866612e+00 2.914272e+04 9.427435e-01 1.324626e+06 1.054104e+02 2.351744e-01 4.991042e+01 1.541249e-04 1.083842e-02
4.786301e-03 1.864386e+00 2.844221e+04 9.807378e-01 1.448988e+06 1.153068e+02 1.540315e-01 3.996443e+01 1.492758e-04 1.128328e-02
4.897788e-03 1.862775e+00 2.774261e+04 9.646804e-01 1.253365e+06 9.973963e+01 2.605616e-01 1.161422e+02 1.574568e-04 1.050441e-02
5.011872e-03 1.876354e+00 2.708023e+04 9.016578e-01 1.232382e+06 9.806983e+01 1.724076e-01 1.988476e+01 1.514096e-04 1.010967e-02
5.128614e-03 1.871652e+00 2.641885e+04 1.021568e+00 1.350959e+06 1.075059e+02 1.646591e-01 2.189945e+01 1.645304e-04 1.130905e-02
5.248075e-03 1.881779e+00 2.579437e+04 9.606579e-01 1.300596e+06 1.034982e+02 1.970527e-01 2.405762e+01 1.599590e-04 1.041094e-02
5.370318e-03 1.884052e+00 2.517052e+04 9.440694e-01 1.228086e+06 9.772794e+01 1.480290e-01 1.971461e+01 1.679782e-04 9.857429e-03
5.495409e-03 1.892454e+00 2.457707e+04 9.492407e-01 1.262258e+06 1.004473e+02 6.114023e-02 1.413630e+01 1.496104e-04 1.037515e-02
5.623413e-03 1.893745e+00 2.398496e+04 9.235438e-01 1.216036e+06 9.676905e+01 1.401392e-01 3.112377e+01 1.552546e-04 9.722548e-03
5.754399e-03 1.903585e+00 2.341648e+04 9.474233e-01 1.263014e+06 1.005074e+02 5.854499e-02 2.249723e+01 1.707432e-04 1.045482e-02
5.888437e-03 1.897093e+00 2.283575e+04 9.638176e-01 1.327720e+06 1.056566e+02 1.106710e-01 7.478522e+01 1.645429e-04 1.027825e-02
6.025596e-03 1.911853e+00 2.231070e+04 8.430001e-01 1.085697e+06 8.639699e+01 1.552112e-01 5.269817e+01 1.587823e-04 8.486199e-03
6.165950e-03 1.917854e+00 2.177696e+04 9.329242e-01 1.246746e+06 9.921291e+01 4.853451e-02 1.465361e+01 1.587181e-04 9.576381e-03
6.309573e-03 1.921575e+00 2.126188e+04 9.487114e-01 1.244208e+06 9.901094e+01 -1.428711e-02 4.476528e+01 1.555024e-04 9.496556e-03
6.456542e-03 1.928644e+00 2.075126e+04 9.361000e-01 1.279108e+06 1.017882e+02 1.592368e-01 5.124336e+01 1.519489e-04 9.170956e-03
6.606934e-03 1.945332e+00 2.026742e+04 9.697532e-01 1.335186e+06 1.062507e+02 8.112742e-02 2.289650e+01 1.603372e-04 1.009348e-02
6.760830e-03 1.952524e+00 1.978245e+04 9.712418e-01 1.201096e+06 9.558018e+01 1.603887e-01 2.251417e+01 1.499493e-04 9.184785e-03
6.918310e-03 1.955466e+00 1.931366e+04 9.753725e-01 1.188434e+06 9.457253e+01 1.894728e-01 1.124532e+01 1.595631e-04 9.253011e-03
7.079458e-03 1.965751e+00 1.885690e+04 9.063124e-01 1.230269e+06 9.790169e+01 9.020550e-02 2.053747e+01 1.577848e-04 8.897311e-03
7.244360e-03 1.974613e+00 1.841878e+04 9.189528e-01 1.204031e+06 9.581378e+01 1.318062e-01 2.156708e+01 1.561157e-04 8.870387e-03
7.413102e-03 1.991197e+00 1.798023e+04 9.427285e-01 1.234300e+06 9.822249e+01 6.188871e-02 5.583583e+01 1.611250e-04 8.984026e-03
7.585776e-03 2.001888e+00 1.755688e+04 8.751808e-01 1.119210e+06 8.906387e+01 -3.264274e-02 2.942810e+01 1.407426e-04 7.668271e-03
7.762471e-03 1.993491e+00 1.714145e+04 9.825207e-01 1.215108e+06 9.669526e+01 -4.243730e-02 1.649411e+01 1.635245e-04 8.682237e-03
7.943282e-03 2.018685e+00 1.675668e+04 9.566153e-01 1.173537e+06 9.338714e+01 3.765719e-02 1.892652e+01 1.478536e-04 8.286462e-03
8.128305e-03 2.023198e+00 1.636398e+04 9.113651e-01 1.229504e+06 9.784082e+01 1.343741e-01 1.987543e+01 1.637298e-04 8.349397e-03
8.317638e-03 2.041705e+00 1.597737e+04 9.299129e-01 1.189186e+06 9.463238e+01 -6.059165e-02 3.861505e+01 1.606918e-04 7.980121e-03
8.511380e-03 2.050198e+00 1.559778e+04 9.416280e-01 1.145152e+06 9.112834e+01 5.461478e-02 2.667659e+01 1.507844e-04 7.598119e-03
8.709636e-03 2.060255e+00 1.525438e+04 9.822563e-01 1.256386e+06 9.998001e+01 1.688525e-01 1.645523e+01 1.522567e-04 8.309590e-03
8.912509e-03 2.069824e+00 1.488398e+04 9.456019e-01 1.122767e+06 8.934692e+01 2.617243e-01 1.227088e+01 1.539635e-04 7.222703e-03
9.120108e-03 2.079397e+00 1.453650e+04 9.812858e-01 1.233641e+06 9.817004e+01 9.493833e-02 2.038541e+01 1.541647e-04 7.799039e-03
9.332543e-03 2.086291e+00 1.419813e+04 1.000403e+00 1.175957e+06 9.357968e+01 1.141972e-01 1.524928e+01 1.714756e-04 7.909709e-03
9.549926e-03 2.103128e+00 1.386006e+04 9.651633e-01 1.155443e+06 9.194726e+01 -5.685800e-02 2.073770e+01 1.571856e-04 7.399957e-03
9.772372e-03 2.115486e+00 1.354320e+04 9.287455e-01 1.108797e+06 8.823529e+01 2.193242e-02 1.282430e+01 1.510391e-04 7.021367e-03
1.000000e-02 2.138793e+00 1.323927e+04 9.797579e-01 1.166995e+06 9.286651e+01 1.010697e-01 2.775013e+01 1.543762e-04 7.188579e-03
1.023293e-02 2.159666e+00 1.293158e+04 1.019298e+00 1.301996e+06 1.036096e+02 7.963683e-02 1.069300e+01 1.576847e-04 7.744756e-03
1.047129e-02 2.172238e+00 1.263184e+04 9.746353e-01 1.097557e+06 8.734081e+01 1.303071e-02 8.810031e+00 1.362606e-04 6.657830e-03
1.071519e-02 2.176299e+00 1.233555e+04 1.002045e+00 1.259774e+06 1.002496e+02 4.596517e-02 2.379648e+01 1.616421e-04 7.575438e-03
1.096478e-02 2.194948e+00 1.204958e+04 9.385434e-01 1.086642e+06 8.647225e+01 -7.247759e-03 2.196732e+01 1.547269e-04 6.434686e-03
1.122018e-02 2.214341e+00 1.176541e+04 1.016286e+00 1.174402e+06 9.345598e+01 5.142386e-02 1.164852e+01 1.518047e-04 6.702491e-03
1.148154e-02 2.224553e+00 1.149208e+04 1.031137e+00 1.147847e+06 9.134273e+01 1.020182e-01 1.374785e+01 1.637600e-04 6.432943e-03
1.174898e-02 2.244533e+00 1.123253e+04 9.985033e-01 1.069305e+06 8.509261e+01 1.054992e-01 2.122989e+01 1.511914e-04 6.187169e-03
1.202264e-02 2.261199e+00 1.097467e+04 9.732913e-01 1.071259e+06 8.524812e+01 1.123221e-02 1.071708e+01 1.623736e-04 5.921104e-03
1.230269e-02 2.293378e+00 1.072569e+04 9.010975e-01 1.022888e+06 8.139881e+01 6.759114e-02 2.653435e+01 1.592301e-04 5.440938e-03
1.258925e-02 2.300353e+00 1.048144e+04 9.719735e-01 1.194417e+06 9.504870e+01 1.075710e-01 1.092205e+01 1.691396e-04 6.290569e-03
1.288250e-02 2.323805e+00 1.024532e+04 9.626953e-01 1.040052e+06 8.276474e+01 1.870585e-02 1.050630e+01 1.675763e-04 5.578842e-03
