#./double_munderdamped_3d --dev=1 --amp=100.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_50.0_5.0_0.99_1.0_100.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 1.653250e+00 1.828296e+05 9.161302e-01 1.601508e+06 1.274440e+02 -1.492037e-02 2.699464e+02 1.576925e-04 1.615648e-02
1.023293e-03 1.645374e+00 1.768205e+05 1.008268e+00 1.656726e+06 1.318381e+02 -2.732923e-02 9.026279e+01 1.548797e-04 1.801709e-02
1.047129e-03 1.654895e+00 1.710598e+05 9.937554e-01 1.699361e+06 1.352308e+02 -5.441464e-02 5.598740e+01 1.658976e-04 1.759005e-02
1.071519e-03 1.648626e+00 1.655332e+05 1.006871e+00 1.637222e+06 1.302860e+02 -2.664728e-02 7.663321e+01 1.575735e-04 1.653487e-02
1.096478e-03 1.660543e+00 1.603779e+05 9.629503e-01 1.646176e+06 1.309985e+02 1.895646e-01 1.973480e+02 1.495023e-04 1.675754e-02
1.122018e-03 1.651352e+00 1.552104e+05 1.015283e+00 1.691851e+06 1.346332e+02 3.146631e-01 8.958068e+01 1.509005e-04 1.779162e-02
1.148154e-03 1.667018e+00 1.503727e+05 9.378084e-01 1.518354e+06 1.208268e+02 4.868919e-02 8.812699e+01 1.509147e-04 1.614367e-02
1.174898e-03 1.654384e+00 1.457517e+05 9.781265e-01 1.587049e+06 1.262934e+02 1.693698e-01 1.421328e+02 1.574125e-04 1.672146e-02
1.202264e-03 1.658400e+00 1.412379e+05 1.000075e+00 1.613707e+06 1.284147e+02 -2.134382e-02 1.070653e+02 1.690459e-04 1.626967e-02
1.230269e-03 1.664882e+00 1.370417e+05 9.804950e-01 1.603613e+06 1.276115e+02 1.618681e-01 1.995877e+02 1.631244e-04 1.646786e-02
1.258925e-03 1.673425e+00 1.328605e+05 9.855253e-01 1.613297e+06 1.283821e+02 1.706724e-01 9.573735e+01 1.535146e-04 1.635874e-02
1.288250e-03 1.658464e+00 1.287804e+05 9.787075e-01 1.601885e+06 1.274740e+02 1.465797e-01 8.735396e+01 1.721287e-04 1.692446e-02
1.318257e-03 1.662245e+00 1.248788e+05 9.854488e-01 1.595414e+06 1.269590e+02 -4.407525e-02 7.479043e+01 1.535264e-04 1.675404e-02
1.348963e-03 1.671018e+00 1.212845e+05 1.039179e+00 1.684434e+06 1.340430e+02 8.246661e-02 1.066373e+02 1.498951e-04 1.717502e-02
1.380384e-03 1.661401e+00 1.177143e+05 9.527307e-01 1.615530e+06 1.285598e+02 -5.205852e-03 1.432366e+02 1.598417e-04 1.669206e-02
1.412538e-03 1.680682e+00 1.142242e+05 9.244021e-01 1.585387e+06 1.261611e+02 1.478955e-01 8.351146e+01 1.517816e-04 1.598784e-02
1.445440e-03 1.671696e+00 1.109744e+05 9.392317e-01 1.533616e+06 1.220413e+02 1.578631e-01 1.272350e+02 1.597465e-04 1.564654e-02
