#./double_munderdamped_3d --dev=1 --amp=200.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=50.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_50.0_5.0_0.99_1.0_200.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 1.712325e+00 1.833775e+05 1.017198e+00 1.706655e+06 1.358113e+02 2.147764e-01 7.129694e+01 1.532276e-04 1.638400e-02
1.023293e-03 1.719514e+00 1.774550e+05 9.643361e-01 1.471174e+06 1.170723e+02 3.540861e-02 2.766186e+02 1.585727e-04 1.462502e-02
1.047129e-03 1.713055e+00 1.716771e+05 9.146006e-01 1.518203e+06 1.208148e+02 4.844079e-02 5.898729e+01 1.440633e-04 1.484046e-02
1.071519e-03 1.705181e+00 1.661522e+05 9.599770e-01 1.607890e+06 1.279518e+02 8.894660e-03 1.487723e+02 1.604048e-04 1.563804e-02
1.096478e-03 1.712412e+00 1.608555e+05 9.379497e-01 1.593866e+06 1.268358e+02 -8.668496e-02 1.389312e+02 1.523157e-04 1.510286e-02
1.122018e-03 1.718906e+00 1.558182e+05 9.360071e-01 1.532727e+06 1.219705e+02 2.235833e-02 1.246323e+02 1.517403e-04 1.460285e-02
1.148154e-03 1.726042e+00 1.509268e+05 9.844378e-01 1.537367e+06 1.223398e+02 2.170840e-01 1.377593e+02 1.451277e-04 1.454842e-02
1.174898e-03 1.727185e+00 1.463101e+05 9.369311e-01 1.517296e+06 1.207426e+02 1.716550e-01 4.516300e+01 1.515893e-04 1.478836e-02
1.202264e-03 1.739375e+00 1.419193e+05 1.044064e+00 1.680685e+06 1.337446e+02 1.668878e-01 1.251701e+02 1.630412e-04 1.599458e-02
1.230269e-03 1.718621e+00 1.374954e+05 9.754905e-01 1.569152e+06 1.248692e+02 6.823877e-02 6.254204e+01 1.556681e-04 1.511122e-02
1.258925e-03 1.736132e+00 1.334306e+05 9.693979e-01 1.544176e+06 1.228816e+02 5.941458e-02 1.840921e+02 1.508573e-04 1.479531e-02
1.288250e-03 1.747966e+00 1.294581e+05 8.832741e-01 1.405094e+06 1.118138e+02 1.257240e-01 4.097775e+01 1.498220e-04 1.328251e-02
1.318257e-03 1.744590e+00 1.255868e+05 9.996805e-01 1.636449e+06 1.302244e+02 7.036916e-02 8.774536e+01 1.560223e-04 1.499117e-02
1.348963e-03 1.724086e+00 1.216891e+05 8.927931e-01 1.451340e+06 1.154940e+02 9.581110e-02 6.313434e+01 1.470197e-04 1.391046e-02
1.380384e-03 1.750814e+00 1.183144e+05 9.765766e-01 1.599736e+06 1.273029e+02 1.710311e-01 7.328435e+01 1.551244e-04 1.496457e-02
1.412538e-03 1.739957e+00 1.147680e+05 1.004067e+00 1.631716e+06 1.298478e+02 4.943241e-02 8.913362e+01 1.585164e-04 1.544375e-02
1.445440e-03 1.750512e+00 1.115273e+05 1.008166e+00 1.561950e+06 1.242960e+02 1.081355e-01 6.012800e+01 1.506602e-04 1.436774e-02
1.479108e-03 1.748741e+00 1.082374e+05 1.031391e+00 1.590134e+06 1.265388e+02 1.158926e-01 2.327841e+02 1.655771e-04 1.481669e-02
1.513561e-03 1.756524e+00 1.052253e+05 9.404935e-01 1.522832e+06 1.211831e+02 6.819538e-02 1.645487e+02 1.597017e-04 1.407555e-02
1.548817e-03 1.761989e+00 1.022464e+05 9.712719e-01 1.479476e+06 1.177330e+02 1.676238e-01 3.829610e+01 1.536716e-04 1.334872e-02
1.584893e-03 1.755102e+00 9.929982e+04 9.571728e-01 1.559639e+06 1.241121e+02 -2.090208e-02 1.337605e+02 1.568501e-04 1.439063e-02
1.621810e-03 1.765968e+00 9.646731e+04 1.005863e+00 1.510230e+06 1.201803e+02 5.915844e-02 1.640767e+02 1.653915e-04 1.394011e-02
1.659587e-03 1.758327e+00 9.380764e+04 9.438108e-01 1.503301e+06 1.196289e+02 1.539034e-01 9.768657e+01 1.551618e-04 1.337375e-02
1.698244e-03 1.769245e+00 9.117763e+04 9.646387e-01 1.629385e+06 1.296623e+02 8.470889e-02 5.085925e+01 1.577843e-04 1.454450e-02
1.737801e-03 1.766730e+00 8.865204e+04 9.850365e-01 1.482228e+06 1.179520e+02 4.937070e-02 1.074541e+02 1.489429e-04 1.330902e-02
