#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.01 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_0.01.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.957256e-01 5.167311e+03 9.754579e-01 6.262997e+05 4.983934e+01 5.058690e-02 2.259530e+01 1.663787e-04 1.845860e-02
1.031177e-01 1.004871e+00 5.171987e+03 1.002223e+00 6.875836e+05 5.471616e+01 2.606575e-02 2.008692e+01 1.678544e-04 1.909265e-02
1.063327e-01 1.006172e+00 5.171372e+03 9.363086e-01 6.132894e+05 4.880402e+01 -2.638487e-02 2.141709e+01 1.563283e-04 1.704541e-02
1.096478e-01 9.975116e-01 5.166510e+03 9.559785e-01 6.564439e+05 5.223814e+01 7.934019e-02 1.124772e+01 1.680620e-04 1.858436e-02
1.130663e-01 9.984413e-01 5.165705e+03 9.192772e-01 6.194912e+05 4.929754e+01 -2.440891e-02 1.556636e+01 1.621782e-04 1.818482e-02
1.165914e-01 1.005681e+00 5.171152e+03 9.902703e-01 6.466269e+05 5.145693e+01 1.886243e-01 4.794428e+01 1.638432e-04 1.830281e-02
1.202264e-01 1.007337e+00 5.171176e+03 9.903491e-01 7.038451e+05 5.601022e+01 1.117677e-01 2.947681e+01 1.823727e-04 1.982715e-02
1.239748e-01 9.982661e-01 5.169000e+03 9.251371e-01 6.102821e+05 4.856471e+01 -2.015075e-02 2.254105e+01 1.561879e-04 1.734936e-02
1.278400e-01 1.004326e+00 5.172556e+03 9.313144e-01 6.287781e+05 5.003657e+01 -2.431793e-02 2.856056e+01 1.633250e-04 1.745605e-02
1.318257e-01 1.003899e+00 5.168026e+03 9.620718e-01 6.800498e+05 5.411664e+01 2.532681e-01 1.286325e+01 1.629054e-04 1.867207e-02
1.359356e-01 9.955986e-01 5.168148e+03 1.057944e+00 7.195457e+05 5.725963e+01 1.427120e-01 2.061579e+01 1.709149e-04 1.962522e-02
1.401737e-01 1.009522e+00 5.173395e+03 9.021737e-01 6.143866e+05 4.889133e+01 1.759796e-02 2.843927e+01 1.522685e-04 1.714559e-02
1.445440e-01 1.004098e+00 5.172802e+03 9.845116e-01 6.410936e+05 5.101661e+01 4.944811e-02 5.455465e+01 1.696497e-04 1.822175e-02
1.490505e-01 9.935895e-01 5.165057e+03 1.008473e+00 6.538803e+05 5.203414e+01 8.506429e-02 1.741962e+01 1.694690e-04 1.974361e-02
1.536975e-01 9.981680e-01 5.168833e+03 9.572828e-01 6.226153e+05 4.954615e+01 1.278953e-01 2.326217e+01 1.556402e-04 1.800044e-02
1.584893e-01 9.941359e-01 5.168541e+03 9.454572e-01 6.264176e+05 4.984873e+01 -2.690074e-03 1.271529e+01 1.578664e-04 1.744505e-02
1.634306e-01 1.001696e+00 5.168839e+03 9.975505e-01 6.722413e+05 5.349526e+01 1.501288e-01 2.134995e+01 1.577765e-04 1.849177e-02
1.685259e-01 9.975392e-01 5.166335e+03 9.591990e-01 6.248211e+05 4.972168e+01 1.111593e-01 1.046326e+01 1.581225e-04 1.783300e-02
1.737801e-01 1.004524e+00 5.169764e+03 9.450721e-01 6.499202e+05 5.171900e+01 5.014376e-02 1.434676e+01 1.567278e-04 1.805370e-02
1.791981e-01 1.000871e+00 5.169923e+03 9.708499e-01 6.477050e+05 5.154272e+01 -5.634564e-02 4.216351e+01 1.544794e-04 1.822638e-02
1.847850e-01 1.003739e+00 5.169474e+03 9.453871e-01 6.221333e+05 4.950779e+01 1.219652e-01 2.066170e+01 1.634179e-04 1.755069e-02
1.905461e-01 9.996466e-01 5.165500e+03 1.003027e+00 6.621558e+05 5.269268e+01 9.708325e-02 6.826950e+01 1.677579e-04 1.876002e-02
1.964868e-01 9.969024e-01 5.169242e+03 9.393692e-01 6.156082e+05 4.898855e+01 4.084685e-02 1.849229e+01 1.561851e-04 1.802378e-02
2.026127e-01 1.002888e+00 5.170671e+03 9.642302e-01 6.381123e+05 5.077936e+01 3.787039e-02 2.999845e+01 1.538050e-04 1.780727e-02
2.089296e-01 9.985755e-01 5.167201e+03 1.006266e+00 6.337564e+05 5.043273e+01 2.026072e-02 1.723391e+01 1.671301e-04 1.844117e-02
2.154435e-01 1.009060e+00 5.170378e+03 9.260887e-01 6.292017e+05 5.007028e+01 -3.149962e-02 2.024905e+01 1.612826e-04 1.764195e-02
2.221604e-01 1.000526e+00 5.169880e+03 1.011453e+00 6.321426e+05 5.030431e+01 2.326124e-02 1.204497e+01 1.565957e-04 1.811989e-02
2.290868e-01 9.954089e-01 5.169390e+03 9.445669e-01 5.874037e+05 4.674410e+01 6.661430e-02 5.178118e+01 1.669529e-04 1.735868e-02
2.362291e-01 9.928494e-01 5.168882e+03 9.358512e-01 6.343566e+05 5.048049e+01 1.779360e-02 1.650611e+01 1.715524e-04 1.819967e-02
2.435940e-01 9.980716e-01 5.169164e+03 9.157936e-01 6.110289e+05 4.862413e+01 2.228432e-02 1.350090e+01 1.727927e-04 1.751770e-02
2.511886e-01 9.937966e-01 5.167269e+03 9.178649e-01 6.261313e+05 4.982594e+01 1.234276e-01 1.521343e+01 1.498668e-04 1.745314e-02
2.590200e-01 1.007118e+00 5.173058e+03 9.504943e-01 6.376757e+05 5.074462e+01 4.721726e-02 1.600783e+01 1.592194e-04 1.770059e-02
2.670956e-01 9.977851e-01 5.165975e+03 1.029973e+00 6.377218e+05 5.074829e+01 9.070630e-02 2.905588e+01 1.634806e-04 1.826215e-02
2.754229e-01 1.008083e+00 5.171582e+03 9.751152e-01 6.493847e+05 5.167639e+01 6.057271e-02 1.919767e+01 1.557175e-04 1.831333e-02
2.840098e-01 1.001658e+00 5.166423e+03 9.964541e-01 6.562999e+05 5.222669e+01 8.690354e-02 9.741542e+00 1.678901e-04 1.853099e-02
2.928645e-01 9.942256e-01 5.167988e+03 9.695239e-01 6.237105e+05 4.963330e+01 1.828959e-01 2.156708e+01 1.585931e-04 1.858892e-02
3.019952e-01 1.004095e+00 5.168407e+03 9.460418e-01 6.106286e+05 4.859228e+01 -1.973841e-02 2.487076e+01 1.482471e-04 1.759109e-02
3.114106e-01 9.973590e-01 5.169003e+03 9.703356e-01 6.680329e+05 5.316037e+01 -2.191253e-02 2.791816e+01 1.627319e-04 1.855063e-02
3.211195e-01 9.953428e-01 5.166930e+03 9.840406e-01 6.464728e+05 5.144467e+01 5.625438e-02 1.550407e+01 1.701768e-04 1.858230e-02
3.311311e-01 1.001021e+00 5.164702e+03 9.342928e-01 5.714919e+05 4.547788e+01 6.293500e-02 2.101934e+01 1.631989e-04 1.626633e-02
3.414549e-01 1.001082e+00 5.170396e+03 9.841681e-01 6.818346e+05 5.425867e+01 4.674683e-02 2.133903e+01 1.610484e-04 1.918544e-02
3.521005e-01 9.954311e-01 5.169852e+03 1.000982e+00 6.327336e+05 5.035134e+01 7.763355e-03 2.756148e+01 1.621656e-04 1.803381e-02
3.630781e-01 9.973322e-01 5.168184e+03 9.553610e-01 6.049981e+05 4.814422e+01 4.264493e-02 3.262806e+01 1.580151e-04 1.717716e-02
3.743978e-01 9.927479e-01 5.165290e+03 9.656311e-01 5.911405e+05 4.704147e+01 -2.032260e-02 1.702838e+01 1.574674e-04 1.691260e-02
3.860705e-01 1.000637e+00 5.167828e+03 9.242072e-01 5.892379e+05 4.689006e+01 1.451659e-01 1.137538e+01 1.623619e-04 1.650187e-02
3.981072e-01 9.956255e-01 5.167979e+03 9.256054e-01 5.989702e+05 4.766453e+01 5.338871e-02 2.090392e+01 1.597028e-04 1.632237e-02
4.105191e-01 1.004250e+00 5.168279e+03 9.827937e-01 6.422344e+05 5.110739e+01 7.347701e-02 1.061726e+01 1.683578e-04 1.788441e-02
4.233179e-01 1.005745e+00 5.170504e+03 9.750088e-01 6.180106e+05 4.917972e+01 8.788012e-02 1.141521e+01 1.773838e-04 1.784133e-02
4.365158e-01 9.940480e-01 5.170330e+03 9.776914e-01 6.515193e+05 5.184626e+01 2.023498e-01 2.257133e+01 1.721248e-04 1.906703e-02
4.501252e-01 9.967106e-01 5.166270e+03 9.469449e-01 6.393891e+05 5.088096e+01 1.316966e-01 2.239511e+01 1.524134e-04 1.805356e-02
4.641589e-01 1.004496e+00 5.171184e+03 1.007210e+00 6.342278e+05 5.047024e+01 8.437645e-02 1.475150e+01 1.600332e-04 1.786870e-02
4.786301e-01 9.972264e-01 5.172000e+03 1.006386e+00 6.495899e+05 5.169272e+01 7.665958e-02 3.467636e+01 1.683506e-04 1.850020e-02
4.935525e-01 9.987844e-01 5.168931e+03 9.346951e-01 6.276955e+05 4.995042e+01 6.091793e-02 2.739612e+01 1.691079e-04 1.827191e-02
5.089401e-01 1.003353e+00 5.171696e+03 9.646266e-01 6.283310e+05 5.000099e+01 1.394919e-02 1.482462e+01 1.656916e-04 1.751090e-02
5.248075e-01 9.923358e-01 5.167261e+03 9.806199e-01 6.431329e+05 5.117889e+01 1.230582e-01 1.230594e+01 1.585124e-04 1.855125e-02
5.411695e-01 1.003273e+00 5.167417e+03 9.843806e-01 6.642018e+05 5.285550e+01 7.143856e-02 1.155463e+01 1.703267e-04 1.806477e-02
5.580417e-01 1.001142e+00 5.169413e+03 9.556403e-01 6.302993e+05 5.015762e+01 1.344687e-01 2.885937e+01 1.631063e-04 1.768080e-02
5.754399e-01 9.991177e-01 5.168099e+03 9.927027e-01 6.351370e+05 5.054260e+01 4.833042e-02 1.357810e+01 1.625577e-04 1.799776e-02
5.933806e-01 9.987883e-01 5.173071e+03 9.558159e-01 6.102144e+05 4.855932e+01 2.103914e-02 1.512608e+01 1.597269e-04 1.791665e-02
6.118806e-01 9.924596e-01 5.167528e+03 9.676474e-01 6.186282e+05 4.922887e+01 6.337910e-02 1.860232e+01 1.633789e-04 1.782752e-02
6.309573e-01 9.938382e-01 5.166498e+03 9.659594e-01 6.457813e+05 5.138964e+01 1.179409e-01 4.962499e+01 1.591439e-04 1.861896e-02
6.506289e-01 9.941545e-01 5.167152e+03 9.502759e-01 6.302831e+05 5.015634e+01 1.801413e-01 2.075398e+01 1.657838e-04 1.777697e-02
6.709137e-01 9.974514e-01 5.167800e+03 9.918610e-01 6.594204e+05 5.247501e+01 6.923821e-02 2.673708e+01 1.630929e-04 1.916390e-02
6.918310e-01 1.000850e+00 5.171712e+03 9.377611e-01 6.005047e+05 4.778664e+01 -5.120992e-02 2.705993e+01 1.668943e-04 1.748853e-02
7.134004e-01 1.001966e+00 5.170345e+03 9.353648e-01 5.801473e+05 4.616666e+01 1.189179e-01 1.938957e+01 1.699137e-04 1.706352e-02
7.356423e-01 9.972664e-01 5.166695e+03 9.932604e-01 6.205413e+05 4.938111e+01 1.189437e-01 1.561869e+01 1.722948e-04 1.793898e-02
7.585776e-01 1.002388e+00 5.169228e+03 9.878534e-01 6.371775e+05 5.070498e+01 -7.808740e-02 1.568202e+01 1.678692e-04 1.838689e-02
7.822280e-01 1.000319e+00 5.172579e+03 1.004706e+00 7.141139e+05 5.682738e+01 4.425254e-02 5.499762e+01 1.575466e-04 2.051089e-02
8.066157e-01 9.984492e-01 5.170548e+03 1.030331e+00 6.727027e+05 5.353198e+01 8.426785e-02 1.072126e+01 1.694108e-04 1.923577e-02
8.317638e-01 9.937431e-01 5.167875e+03 9.499365e-01 6.273866e+05 4.992584e+01 1.053925e-01 1.359671e+01 1.600374e-04 1.798117e-02
8.576959e-01 9.997694e-01 5.169349e+03 9.790443e-01 6.519001e+05 5.187656e+01 7.540588e-02 2.635687e+01 1.725179e-04 1.884011e-02
8.844365e-01 9.949485e-01 5.169050e+03 9.418683e-01 6.181454e+05 4.919044e+01 1.204101e-02 6.345331e+01 1.620075e-04 1.767570e-02
9.120108e-01 9.980878e-01 5.169508e+03 9.475012e-01 6.886815e+05 5.480353e+01 -2.071112e-02 1.555588e+01 1.739182e-04 1.833663e-02
9.404449e-01 9.960894e-01 5.170439e+03 9.949348e-01 6.674313e+05 5.311250e+01 1.250175e-01 1.629630e+01 1.604875e-04 1.883275e-02
9.697654e-01 1.005462e+00 5.171674e+03 9.896994e-01 6.675211e+05 5.311964e+01 9.321067e-02 1.849814e+01 1.718754e-04 1.848772e-02
1.000000e+00 9.985084e-01 5.167524e+03 9.082016e-01 6.148114e+05 4.892514e+01 1.501719e-01 1.404713e+01 1.635797e-04 1.718838e-02
1.031177e+00 9.977175e-01 5.168720e+03 1.026937e+00 6.809157e+05 5.418555e+01 1.452920e-01 3.211831e+01 1.640923e-04 2.017396e-02
1.063327e+00 9.921279e-01 5.171556e+03 9.850706e-01 6.634267e+05 5.279381e+01 -7.696441e-03 3.334534e+01 1.681799e-04 1.921248e-02
1.096478e+00 9.940339e-01 5.169639e+03 9.486079e-01 6.605108e+05 5.256178e+01 8.413746e-02 2.693234e+01 1.693502e-04 1.865222e-02
1.130663e+00 9.939126e-01 5.167300e+03 9.931971e-01 6.307480e+05 5.019333e+01 9.608572e-02 2.749572e+01 1.606878e-04 1.838655e-02
1.165914e+00 9.886554e-01 5.169097e+03 9.337348e-01 5.893231e+05 4.689684e+01 4.499836e-03 2.049476e+01 1.482479e-04 1.711219e-02
1.202264e+00 9.987639e-01 5.171797e+03 1.000011e+00 6.770107e+05 5.387479e+01 2.097287e-02 2.045098e+01 1.689960e-04 1.945190e-02
1.239748e+00 9.923787e-01 5.171876e+03 9.829348e-01 6.554059e+05 5.215555e+01 2.587866e-02 1.800598e+01 1.751391e-04 1.836981e-02
1.278400e+00 9.883959e-01 5.170150e+03 9.622687e-01 6.559666e+05 5.220016e+01 8.763116e-02 2.729352e+01 1.630093e-04 1.944831e-02
1.318257e+00 9.898907e-01 5.168636e+03 9.702670e-01 6.298602e+05 5.012268e+01 5.550282e-02 3.089657e+01 1.627243e-04 1.863228e-02
1.359356e+00 9.932943e-01 5.169928e+03 9.370446e-01 6.113671e+05 4.865104e+01 5.511528e-03 1.085649e+01 1.573167e-04 1.772890e-02
1.401737e+00 9.886796e-01 5.166209e+03 9.762426e-01 6.548136e+05 5.210841e+01 1.746898e-01 1.732571e+01 1.567962e-04 1.890598e-02
1.445440e+00 9.944132e-01 5.168295e+03 1.012807e+00 6.707461e+05 5.337627e+01 -4.550559e-03 3.141834e+01 1.558039e-04 1.913363e-02
1.490505e+00 9.914396e-01 5.167229e+03 9.686231e-01 6.552457e+05 5.214279e+01 1.526356e-01 2.820529e+01 1.649923e-04 1.899053e-02
1.536975e+00 9.867365e-01 5.167070e+03 9.599170e-01 6.696846e+05 5.329181e+01 1.241285e-01 4.603202e+01 1.681687e-04 1.840991e-02
1.584893e+00 9.927697e-01 5.171328e+03 1.027607e+00 6.964064e+05 5.541826e+01 1.050743e-01 2.081627e+01 1.729810e-04 2.032993e-02
1.634306e+00 9.878692e-01 5.167525e+03 9.079861e-01 6.178835e+05 4.916960e+01 -3.244475e-03 1.845778e+01 1.575629e-04 1.801521e-02
1.685259e+00 9.860017e-01 5.170536e+03 9.945598e-01 6.442775e+05 5.126998e+01 1.525551e-01 3.866522e+01 1.679037e-04 1.864415e-02
1.737801e+00 9.830805e-01 5.167763e+03 9.681955e-01 6.316207e+05 5.026277e+01 1.281104e-01 4.270366e+01 1.658537e-04 1.855003e-02
