#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=1.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_1.0.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 9.939518e-01 5.102929e+01 1.015502e+00 6.334430e+05 5.040779e+01 5.590876e-02 4.589714e-01 4.973631e-04 1.872968e-02
1.031177e-01 9.966883e-01 5.107879e+01 9.882376e-01 6.035281e+05 4.802724e+01 2.091959e-02 2.961737e-01 5.487569e-04 1.816550e-02
1.063327e-01 1.004329e+00 5.110171e+01 9.626402e-01 6.575484e+05 5.232604e+01 4.733403e-02 9.359767e-02 5.937936e-04 1.824706e-02
1.096478e-01 1.002394e+00 5.114517e+01 9.780943e-01 6.649256e+05 5.291310e+01 1.033088e-01 1.913698e-01 5.703062e-04 1.918114e-02
1.130663e-01 9.992594e-01 5.109683e+01 9.283699e-01 5.950838e+05 4.735526e+01 9.300746e-02 2.069456e-01 5.677084e-04 1.695914e-02
1.165914e-01 1.002853e+00 5.109432e+01 9.450998e-01 6.199202e+05 4.933168e+01 1.549262e-01 3.313741e-01 5.995165e-04 1.799386e-02
1.202264e-01 9.992864e-01 5.111027e+01 9.608936e-01 6.185758e+05 4.922469e+01 6.235934e-02 7.665072e-01 5.772118e-04 1.796274e-02
1.239748e-01 1.005297e+00 5.111578e+01 1.037947e+00 6.451066e+05 5.133595e+01 6.272440e-02 8.361488e-02 5.885607e-04 1.860464e-02
1.278400e-01 1.005818e+00 5.111299e+01 9.320722e-01 6.130537e+05 4.878526e+01 1.330688e-02 9.777939e-02 5.896830e-04 1.752850e-02
1.318257e-01 9.985408e-01 5.110498e+01 9.809615e-01 6.944367e+05 5.526151e+01 1.892038e-01 5.275691e-01 6.057519e-04 1.946650e-02
1.359356e-01 1.003143e+00 5.103090e+01 9.629748e-01 6.661154e+05 5.300778e+01 3.971660e-02 5.137754e-01 5.571454e-04 1.808482e-02
1.401737e-01 1.004603e+00 5.115638e+01 9.685022e-01 6.515142e+05 5.184585e+01 3.601240e-02 5.698951e-01 5.638915e-04 1.785499e-02
1.445440e-01 9.976291e-01 5.099322e+01 9.424780e-01 6.039866e+05 4.806373e+01 -1.755022e-02 4.952593e-01 5.544265e-04 1.779189e-02
1.490505e-01 1.000327e+00 5.107638e+01 9.297359e-01 6.446491e+05 5.129955e+01 9.398340e-02 3.013738e-01 5.506430e-04 1.825296e-02
1.536975e-01 1.003504e+00 5.107370e+01 9.897498e-01 6.397862e+05 5.091257e+01 9.880482e-03 3.139347e-01 5.450887e-04 1.796785e-02
1.584893e-01 1.001404e+00 5.111885e+01 1.042024e+00 6.633925e+05 5.279110e+01 6.407081e-02 2.129438e-01 5.573273e-04 1.890837e-02
