#./overdamped_3d --dev=0 --amp=120 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_0.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
4.786294e-01 9.977360e-01 9.682866e-01 6.238659e+05 4.964202e+01 7.257307e-02 2.424717e-03
4.935517e-01 9.944901e-01 9.724551e-01 6.263122e+05 4.983969e+01 -1.581693e-02 2.505064e-03
5.089393e-01 9.989251e-01 9.856385e-01 6.447066e+05 5.130933e+01 -1.329720e-03 2.774477e-03
5.248066e-01 9.926826e-01 9.232794e-01 6.108169e+05 4.860815e+01 1.748693e-02 2.482176e-03
5.411686e-01 1.000621e+00 9.819362e-01 6.473969e+05 5.151496e+01 2.196296e-01 2.600074e-03
5.580408e-01 9.985456e-01 1.018247e+00 6.957063e+05 5.536683e+01 2.041867e-01 2.623439e-03
5.754390e-01 1.003407e+00 9.525083e-01 6.213478e+05 4.944308e+01 4.732418e-02 2.655149e-03
5.933796e-01 9.960917e-01 9.594596e-01 6.303908e+05 5.015641e+01 8.499336e-02 2.718806e-03
6.118796e-01 1.001249e+00 9.393205e-01 5.961050e+05 4.743486e+01 1.202517e-01 2.591968e-03
6.309564e-01 9.978799e-01 9.983022e-01 6.549378e+05 5.211211e+01 1.364465e-01 2.719641e-03
6.506279e-01 9.981641e-01 9.748067e-01 6.470576e+05 5.148854e+01 7.235301e-02 2.757311e-03
6.709126e-01 1.001315e+00 9.331454e-01 5.926624e+05 4.716143e+01 -6.001073e-02 2.505422e-03
6.918299e-01 9.925950e-01 9.675884e-01 6.724181e+05 5.350535e+01 -1.465213e-02 2.454996e-03
7.133992e-01 1.000878e+00 9.521576e-01 6.539944e+05 5.203985e+01 3.314244e-01 2.912760e-03
7.356411e-01 9.958511e-01 9.488249e-01 6.406109e+05 5.098115e+01 7.272589e-02 2.561688e-03
7.585764e-01 9.996792e-01 9.394140e-01 6.374296e+05 5.072491e+01 1.644802e-02 2.396464e-03
7.822267e-01 9.946716e-01 9.769850e-01 6.262329e+05 4.982919e+01 1.932764e-02 2.742887e-03
8.066144e-01 9.946050e-01 9.199904e-01 5.696171e+05 4.532892e+01 1.290050e-01 2.394199e-03
8.317624e-01 9.904475e-01 9.014833e-01 6.079677e+05 4.838151e+01 7.905054e-02 2.507567e-03
8.576946e-01 9.971589e-01 9.701231e-01 6.339067e+05 5.044798e+01 -6.048405e-02 2.608418e-03
8.844351e-01 9.939744e-01 1.012433e+00 6.474030e+05 5.151941e+01 2.382255e-02 2.558589e-03
9.120094e-01 9.961694e-01 9.633243e-01 6.276529e+05 4.994569e+01 1.213201e-01 2.643824e-03
9.404434e-01 9.884570e-01 9.426295e-01 6.285863e+05 5.002622e+01 1.609902e-01 2.446175e-03
9.697639e-01 9.937518e-01 9.467561e-01 6.620298e+05 5.268475e+01 -4.700607e-02 2.616763e-03
9.999985e-01 9.918382e-01 9.523010e-01 6.044950e+05 4.810649e+01 3.172624e-02 2.593160e-03
1.031176e+00 9.937795e-01 9.864985e-01 6.270828e+05 4.989953e+01 -5.715072e-03 2.793074e-03
1.063325e+00 9.954767e-01 9.564263e-01 6.533461e+05 5.199051e+01 1.909156e-01 2.491593e-03
1.096476e+00 9.949410e-01 9.115692e-01 6.443208e+05 5.127463e+01 1.505181e-01 2.667904e-03
1.130662e+00 9.874053e-01 1.001765e+00 6.522471e+05 5.190616e+01 6.405878e-02 2.513885e-03
1.165913e+00 9.828308e-01 9.672080e-01 6.523179e+05 5.190839e+01 1.119785e-01 2.599478e-03
1.202263e+00 9.917003e-01 1.022116e+00 7.086908e+05 5.639910e+01 9.567130e-02 2.612352e-03
1.239746e+00 9.929023e-01 9.725086e-01 6.095304e+05 4.850343e+01 5.870128e-02 2.499223e-03
1.278398e+00 9.914997e-01 9.820513e-01 6.757845e+05 5.377814e+01 6.027615e-02 2.395272e-03
1.318255e+00 9.975864e-01 9.674758e-01 6.202264e+05 4.935331e+01 3.736877e-02 2.601624e-03
1.359354e+00 9.871121e-01 9.448569e-01 6.449187e+05 5.132047e+01 9.445941e-02 2.509952e-03
1.401735e+00 9.887713e-01 9.670400e-01 6.933671e+05 5.517456e+01 1.744322e-01 2.572179e-03
1.445438e+00 9.841524e-01 9.361027e-01 6.087835e+05 4.844390e+01 1.753449e-03 2.661347e-03
1.490502e+00 9.829638e-01 9.206181e-01 5.971756e+05 4.752844e+01 3.050160e-02 2.591729e-03
1.536972e+00 9.783576e-01 9.287120e-01 6.354816e+05 5.057148e+01 2.009004e-01 2.402544e-03
1.584891e+00 9.778087e-01 9.253458e-01 6.256671e+05 4.978717e+01 4.038036e-02 2.549648e-03
1.634303e+00 9.882201e-01 1.014616e+00 6.657326e+05 5.297695e+01 5.858898e-03 2.635479e-03
1.685256e+00 9.860129e-01 9.359868e-01 6.404570e+05 5.096301e+01 1.264930e-02 2.522111e-03
1.737798e+00 9.816164e-01 9.601826e-01 5.997108e+05 4.772834e+01 2.169013e-02 2.540112e-03
1.791978e+00 9.734207e-01 9.486023e-01 6.100379e+05 4.854958e+01 5.289018e-02 2.514720e-03
1.847847e+00 9.805565e-01 1.008071e+00 6.613358e+05 5.262427e+01 1.874542e-02 2.535105e-03
1.905458e+00 9.712968e-01 9.207059e-01 5.906672e+05 4.700451e+01 1.620461e-01 2.407670e-03
1.964865e+00 9.735593e-01 9.635651e-01 6.068794e+05 4.829493e+01 7.832360e-02 2.637506e-03
2.026124e+00 9.727290e-01 9.737931e-01 6.507267e+05 5.177979e+01 1.325972e-01 2.499938e-03
2.089293e+00 9.634355e-01 9.178929e-01 5.918395e+05 4.709904e+01 1.043497e-01 2.703547e-03
2.154431e+00 9.774852e-01 9.703717e-01 6.528651e+05 5.195422e+01 1.688087e-01 2.516627e-03
2.221600e+00 9.640036e-01 8.908712e-01 5.628508e+05 4.479129e+01 -3.488821e-02 2.641439e-03
2.290864e+00 9.624033e-01 9.474185e-01 6.297415e+05 5.011535e+01 1.361357e-01 2.654552e-03
2.362287e+00 9.655533e-01 9.954208e-01 6.599368e+05 5.251445e+01 2.758956e-02 2.346039e-03
2.435936e+00 9.650935e-01 9.888662e-01 6.824701e+05 5.431544e+01 -6.983995e-03 2.718687e-03
2.511882e+00 9.590831e-01 9.280223e-01 6.151949e+05 4.895606e+01 1.154126e-01 2.417326e-03
2.590195e+00 9.592165e-01 1.016293e+00 6.919348e+05 5.506475e+01 7.834935e-02 2.460837e-03
2.670950e+00 9.574363e-01 9.544819e-01 6.249861e+05 4.972987e+01 1.373672e-01 2.550244e-03
2.754223e+00 9.517391e-01 9.474553e-01 5.984638e+05 4.762202e+01 4.589725e-02 2.402067e-03
2.840092e+00 9.522383e-01 9.177473e-01 6.398538e+05 5.091876e+01 -4.028088e-02 2.416253e-03
2.928639e+00 9.500570e-01 9.355730e-01 6.255884e+05 4.978335e+01 -3.149468e-02 2.473831e-03
3.019946e+00 9.519531e-01 9.607345e-01 6.340171e+05 5.045498e+01 1.670961e-01 2.619505e-03
3.114099e+00 9.376737e-01 9.264679e-01 6.399090e+05 5.092608e+01 1.202711e-01 2.489090e-03
3.211188e+00 9.440432e-01 9.878930e-01 6.588631e+05 5.243423e+01 9.115541e-02 2.428055e-03
3.311304e+00 9.305105e-01 9.149334e-01 6.033838e+05 4.801641e+01 1.761374e-01 2.463102e-03
3.414541e+00 9.337626e-01 9.747984e-01 6.424514e+05 5.112216e+01 1.439654e-01 2.415776e-03
3.520998e+00 9.184992e-01 8.985376e-01 6.598607e+05 5.251524e+01 -1.453549e-02 2.313375e-03
3.630773e+00 9.281875e-01 9.714141e-01 6.715172e+05 5.343436e+01 -5.749464e-03 2.412915e-03
3.743970e+00 9.262735e-01 9.835472e-01 6.033748e+05 4.801609e+01 4.812837e-02 2.449632e-03
3.860697e+00 9.244239e-01 9.599284e-01 6.289691e+05 5.005073e+01 1.225251e-01 2.498269e-03
3.981063e+00 9.147769e-01 9.926388e-01 6.492989e+05 5.166456e+01 6.385911e-02 2.424717e-03
4.105181e+00 9.177483e-01 9.679278e-01 6.636977e+05 5.281223e+01 3.634453e-02 2.515674e-03
4.233170e+00 9.103885e-01 9.806430e-01 6.630369e+05 5.275716e+01 9.324431e-02 2.420306e-03
4.365148e+00 9.086185e-01 9.999049e-01 6.949170e+05 5.530014e+01 -1.481283e-02 2.570510e-03
4.501241e+00 8.992522e-01 9.729437e-01 6.525856e+05 5.193226e+01 -8.827770e-02 2.532482e-03
4.641578e+00 8.989630e-01 9.542349e-01 6.687027e+05 5.321107e+01 -3.146082e-02 2.390981e-03
