#./double_munderdamped_3d --dev=0 --amp=250.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=20.0 --skew=0.99 --distribution=s>> 1D_double_a:-1:3:300:1_20.0_5.0_0.99_1.0_0.1.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
2.928645e-01 1.005411e+00 5.033388e+02 9.758050e-01 6.482077e+05 5.158273e+01 9.559440e-02 2.398753e+00 2.000620e-04 1.772171e-02
3.019952e-01 1.000419e+00 5.029394e+02 9.317494e-01 6.032508e+05 4.800517e+01 6.672881e-02 1.866697e+00 2.021495e-04 1.784700e-02
3.114106e-01 1.003776e+00 5.031289e+02 9.205564e-01 5.923174e+05 4.713512e+01 8.637270e-02 2.054874e+00 1.910445e-04 1.667848e-02
3.211195e-01 1.004780e+00 5.032278e+02 9.553669e-01 6.319836e+05 5.029166e+01 -9.638686e-03 4.414341e+00 2.081807e-04 1.737131e-02
3.311311e-01 1.001052e+00 5.031590e+02 1.001346e+00 6.498870e+05 5.171637e+01 1.086442e-01 1.868870e+00 2.084680e-04 1.849811e-02
3.414549e-01 1.000145e+00 5.030340e+02 9.007159e-01 6.324546e+05 5.032914e+01 1.585872e-01 2.177118e+00 1.953774e-04 1.757802e-02
3.521005e-01 1.012269e+00 5.034817e+02 1.030241e+00 7.117265e+05 5.663739e+01 1.399308e-01 2.605539e+00 2.256747e-04 1.950982e-02
3.630781e-01 9.996417e-01 5.031289e+02 9.398499e-01 6.136821e+05 4.883527e+01 1.941791e-01 2.047261e+00 2.090005e-04 1.726084e-02
3.743978e-01 1.005303e+00 5.032726e+02 9.384873e-01 6.214056e+05 4.944989e+01 -1.305512e-02 2.586165e+00 1.945128e-04 1.727047e-02
3.860705e-01 1.009755e+00 5.033005e+02 1.036127e+00 6.392727e+05 5.087170e+01 1.639476e-01 1.942088e+00 2.081325e-04 1.859185e-02
3.981072e-01 9.934636e-01 5.028207e+02 9.055421e-01 5.954185e+05 4.738190e+01 -2.221889e-02 3.709717e+00 1.834318e-04 1.621787e-02
4.105191e-01 9.974652e-01 5.030993e+02 9.070675e-01 5.860342e+05 4.663512e+01 3.297689e-02 1.537044e+00 1.987816e-04 1.593181e-02
4.233179e-01 1.001298e+00 5.029997e+02 9.952251e-01 6.679855e+05 5.315660e+01 5.010772e-02 2.336014e+00 2.018891e-04 1.873710e-02
4.365158e-01 1.004961e+00 5.032772e+02 9.333519e-01 6.526219e+05 5.193400e+01 3.801956e-02 2.316293e+00 1.854405e-04 1.769680e-02
4.501252e-01 9.943775e-01 5.029750e+02 9.906138e-01 6.701555e+05 5.332928e+01 -6.309716e-03 2.728831e+00 2.137815e-04 1.892276e-02
4.641589e-01 9.997396e-01 5.028645e+02 1.059976e+00 6.977399e+05 5.552437e+01 6.551814e-02 2.305798e+00 2.042146e-04 1.961889e-02
4.786301e-01 1.005489e+00 5.034709e+02 9.606591e-01 6.550184e+05 5.212471e+01 1.130075e-01 3.095269e+00 2.022204e-04 1.797312e-02
4.935525e-01 1.006749e+00 5.033606e+02 9.740448e-01 6.915988e+05 5.503569e+01 7.331401e-02 3.657179e+00 1.982635e-04 1.895772e-02
5.089401e-01 1.009829e+00 5.035997e+02 9.285392e-01 6.133111e+05 4.880575e+01 1.406820e-01 3.111223e+00 2.012193e-04 1.707084e-02
5.248075e-01 9.977621e-01 5.030783e+02 9.892427e-01 6.012517e+05 4.784609e+01 1.098373e-01 1.945582e+00 2.003490e-04 1.818930e-02
5.411695e-01 1.000855e+00 5.031436e+02 9.565703e-01 5.891350e+05 4.688187e+01 6.234259e-02 2.003138e+00 1.978587e-04 1.661573e-02
5.580417e-01 1.004280e+00 5.031227e+02 9.488038e-01 6.401612e+05 5.094241e+01 7.799343e-02 2.531956e+00 2.002831e-04 1.814303e-02
5.754399e-01 1.008048e+00 5.030484e+02 1.004927e+00 6.789369e+05 5.402808e+01 1.108596e-01 2.028901e+00 1.960685e-04 1.914014e-02
5.933806e-01 9.968637e-01 5.030549e+02 9.471519e-01 6.388461e+05 5.083776e+01 6.741101e-02 1.872266e+00 2.018125e-04 1.924781e-02
6.118806e-01 1.002592e+00 5.032953e+02 9.947147e-01 6.371322e+05 5.070137e+01 -4.981521e-03 2.399849e+00 2.100812e-04 1.776085e-02
6.309573e-01 9.982885e-01 5.029226e+02 9.712542e-01 6.154733e+05 4.897780e+01 1.100899e-01 2.608626e+00 2.020044e-04 1.776168e-02
6.506289e-01 1.003738e+00 5.034862e+02 9.984316e-01 6.306566e+05 5.018606e+01 6.663365e-02 2.223262e+00 1.910019e-04 1.785877e-02
6.709137e-01 9.925596e-01 5.028634e+02 9.530606e-01 6.271174e+05 4.990441e+01 8.322452e-02 1.607163e+00 2.027186e-04 1.794327e-02
6.918310e-01 1.004775e+00 5.030994e+02 9.953100e-01 6.242374e+05 4.967523e+01 4.421442e-02 3.097798e+00 1.926304e-04 1.747811e-02
7.134004e-01 1.003300e+00 5.028602e+02 9.260765e-01 5.751498e+05 4.576897e+01 7.096391e-02 1.587975e+00 1.890202e-04 1.637453e-02
7.356423e-01 1.007134e+00 5.033598e+02 9.880070e-01 6.246070e+05 4.970464e+01 3.518870e-02 4.957800e+00 2.082837e-04 1.688767e-02
7.585776e-01 1.004269e+00 5.030705e+02 8.803866e-01 5.931378e+05 4.720040e+01 2.907728e-02 2.909920e+00 1.968143e-04 1.592156e-02
7.822280e-01 9.964786e-01 5.026028e+02 9.470812e-01 6.021456e+05 4.791722e+01 6.008015e-02 1.317649e+00 2.060949e-04 1.742273e-02
8.066157e-01 1.010111e+00 5.033026e+02 9.786146e-01 6.540485e+05 5.204752e+01 -3.308206e-02 2.399159e+00 2.151021e-04 1.894967e-02
8.317638e-01 1.008831e+00 5.033108e+02 9.553329e-01 6.230180e+05 4.957820e+01 5.275127e-02 3.388228e+00 2.061360e-04 1.707120e-02
8.576959e-01 1.009670e+00 5.033730e+02 9.396549e-01 6.112080e+05 4.863839e+01 3.299769e-02 2.720424e+00 1.959551e-04 1.735009e-02
8.844365e-01 1.007790e+00 5.034177e+02 9.250178e-01 5.778581e+05 4.598449e+01 1.754732e-01 1.620597e+00 2.031782e-04 1.605339e-02
9.120108e-01 1.000530e+00 5.031486e+02 9.805345e-01 6.551996e+05 5.213913e+01 -2.545540e-02 2.225920e+00 1.923109e-04 1.878860e-02
9.404449e-01 1.002733e+00 5.028400e+02 9.869719e-01 6.415925e+05 5.105630e+01 2.086213e-01 3.456428e+00 2.058316e-04 1.822676e-02
9.697654e-01 1.005623e+00 5.030077e+02 9.724382e-01 6.278451e+05 4.996232e+01 1.227476e-01 2.363922e+00 2.066641e-04 1.742018e-02
