#./double_munderdamped_3d --dev=1 --amp=100.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_2.0_50.0_0.99_1.0_100.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 7.940081e+00 7.463381e+04 9.155738e-01 4.129554e+05 3.286194e+01 -6.003089e-02 2.632919e+01 1.366936e-05 1.911048e-04
1.023293e-03 7.913493e+00 7.217737e+04 1.000352e+00 4.707798e+05 3.746347e+01 -1.416669e-01 2.970729e+01 1.347002e-05 2.075384e-04
1.047129e-03 7.896743e+00 6.985323e+04 9.734408e-01 4.229676e+05 3.365869e+01 -9.864300e-02 1.948958e+01 1.402433e-05 1.855632e-04
1.071519e-03 7.869331e+00 6.762542e+04 9.625809e-01 4.324981e+05 3.441710e+01 -1.126828e-01 9.727475e+00 1.333509e-05 1.962677e-04
1.096478e-03 7.844801e+00 6.548588e+04 9.897210e-01 4.300509e+05 3.422236e+01 -1.067052e-01 3.394296e+01 1.298561e-05 1.987476e-04
1.122018e-03 7.818869e+00 6.341565e+04 1.014337e+00 4.485609e+05 3.569534e+01 2.951254e-02 3.899228e+01 1.350712e-05 1.999835e-04
1.148154e-03 7.796855e+00 6.143873e+04 1.000496e+00 4.334203e+05 3.449049e+01 -2.096791e-02 2.664232e+01 1.400170e-05 1.996109e-04
1.174898e-03 7.761332e+00 5.953355e+04 1.032804e+00 4.366305e+05 3.474595e+01 -5.172741e-03 1.010264e+01 1.435795e-05 2.058906e-04
1.202264e-03 7.744363e+00 5.771320e+04 9.895521e-01 4.106222e+05 3.267628e+01 -5.676629e-02 2.041666e+01 1.361724e-05 1.870138e-04
1.230269e-03 7.718744e+00 5.595889e+04 1.025168e+00 4.452210e+05 3.542956e+01 -4.567507e-02 1.545179e+01 1.376170e-05 2.087221e-04
1.258925e-03 7.686947e+00 5.427580e+04 1.053173e+00 4.540133e+05 3.612923e+01 -9.030759e-02 1.154563e+01 1.325523e-05 2.136786e-04
1.288250e-03 7.660669e+00 5.264732e+04 9.804584e-01 4.031572e+05 3.208223e+01 -3.446090e-02 2.142268e+01 1.234802e-05 1.926950e-04
1.318257e-03 7.645373e+00 5.108658e+04 1.016245e+00 4.437070e+05 3.530908e+01 -6.120061e-02 1.538379e+01 1.387401e-05 2.107736e-04
1.348963e-03 7.621303e+00 4.958093e+04 9.778208e-01 4.411467e+05 3.510534e+01 -2.229993e-02 1.293818e+01 1.349574e-05 2.047264e-04
1.380384e-03 7.589346e+00 4.811960e+04 1.047028e+00 4.642049e+05 3.694025e+01 -4.298158e-02 2.367305e+01 1.467589e-05 2.230571e-04
