#./double_munderdamped_3d --dev=1 --amp=200.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_2.0_50.0_0.99_1.0_200.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 8.588652e+00 7.707490e+04 1.029792e+00 3.830579e+05 3.048277e+01 -1.083837e-01 1.348657e+01 1.285847e-05 1.489084e-04
1.023293e-03 8.533920e+00 7.459021e+04 1.085198e+00 4.790769e+05 3.812373e+01 -5.789431e-02 9.978162e+00 1.446961e-05 1.728677e-04
1.047129e-03 8.473989e+00 7.220476e+04 1.054074e+00 3.886910e+05 3.093105e+01 -6.554045e-02 2.650617e+01 1.255143e-05 1.483722e-04
1.071519e-03 8.419089e+00 6.991523e+04 1.048968e+00 3.893906e+05 3.098672e+01 -5.075422e-02 3.856161e+01 1.317361e-05 1.569120e-04
1.096478e-03 8.349139e+00 6.771747e+04 9.945467e-01 3.698604e+05 2.943255e+01 -7.394973e-02 2.423282e+01 1.278750e-05 1.458413e-04
1.122018e-03 8.298011e+00 6.561708e+04 1.121083e+00 4.223283e+05 3.360782e+01 -1.202104e-01 2.023388e+01 1.446372e-05 1.753523e-04
1.148154e-03 8.247045e+00 6.360080e+04 1.089112e+00 4.189757e+05 3.334102e+01 -2.524247e-02 3.758950e+01 1.390712e-05 1.682310e-04
1.174898e-03 8.194749e+00 6.165883e+04 1.084363e+00 3.968231e+05 3.157818e+01 3.713793e-02 8.730332e+00 1.359108e-05 1.680733e-04
1.202264e-03 8.127803e+00 5.978292e+04 9.862427e-01 3.859248e+05 3.071092e+01 -2.924602e-02 1.650558e+01 1.315860e-05 1.535785e-04
1.230269e-03 8.068819e+00 5.797516e+04 1.035551e+00 3.706196e+05 2.949297e+01 -2.922621e-02 8.999946e+00 1.369467e-05 1.571669e-04
1.258925e-03 8.011815e+00 5.624729e+04 1.047022e+00 3.938474e+05 3.134138e+01 1.565253e-02 1.002522e+01 1.391300e-05 1.701126e-04
1.288250e-03 7.954529e+00 5.457643e+04 9.964908e-01 3.427348e+05 2.727397e+01 2.751696e-03 1.835963e+01 1.383996e-05 1.517992e-04
1.318257e-03 7.898164e+00 5.297312e+04 1.012834e+00 3.422088e+05 2.723211e+01 -5.990468e-02 3.582005e+01 1.236302e-05 1.553323e-04
1.348963e-03 7.839528e+00 5.141167e+04 1.085210e+00 4.065385e+05 3.235130e+01 -1.402154e-01 1.794564e+01 1.350266e-05 1.718397e-04
1.380384e-03 7.783721e+00 4.992262e+04 1.008866e+00 3.522785e+05 2.803343e+01 -6.519656e-02 1.763661e+01 1.325140e-05 1.586413e-04
1.412538e-03 7.732594e+00 4.848689e+04 1.027562e+00 3.675250e+05 2.924671e+01 -3.000045e-02 2.046694e+01 1.457225e-05 1.721414e-04
1.445440e-03 7.666181e+00 4.708049e+04 1.003809e+00 3.357969e+05 2.672187e+01 8.083599e-03 1.296239e+01 1.275051e-05 1.591694e-04
1.479108e-03 7.611740e+00 4.574978e+04 1.041791e+00 3.312806e+05 2.636247e+01 2.696333e-02 1.650926e+01 1.287403e-05 1.603740e-04
1.513561e-03 7.546886e+00 4.444912e+04 1.019854e+00 3.511654e+05 2.794485e+01 -2.624649e-03 1.729013e+01 1.397224e-05 1.731258e-04
1.548817e-03 7.478871e+00 4.317972e+04 9.850251e-01 3.509508e+05 2.792778e+01 2.293328e-03 1.887819e+01 1.339410e-05 1.660610e-04
1.584893e-03 7.427658e+00 4.198311e+04 1.005663e+00 3.326255e+05 2.646949e+01 -4.563774e-02 2.217390e+01 1.282156e-05 1.636192e-04
1.621810e-03 7.363783e+00 4.081484e+04 1.057317e+00 3.256015e+05 2.591055e+01 -6.531823e-03 7.414653e+00 1.304809e-05 1.713236e-04
1.659587e-03 7.305210e+00 3.967847e+04 9.880925e-01 2.843723e+05 2.262963e+01 9.515944e-02 1.019336e+01 1.345099e-05 1.473330e-04
1.698244e-03 7.241174e+00 3.857940e+04 9.421472e-01 2.931837e+05 2.333082e+01 -2.694007e-02 2.013825e+01 1.282878e-05 1.508669e-04
1.737801e-03 7.188356e+00 3.752472e+04 9.536630e-01 2.960288e+05 2.355722e+01 -1.434667e-01 9.946927e+00 1.366714e-05 1.549944e-04
1.778279e-03 7.119391e+00 3.649197e+04 9.637423e-01 2.783358e+05 2.214926e+01 -2.812161e-02 1.295544e+01 1.338024e-05 1.537242e-04
1.819701e-03 7.063148e+00 3.550429e+04 1.052415e+00 3.154451e+05 2.510232e+01 -7.026839e-03 7.659972e+00 1.409297e-05 1.721317e-04
1.862087e-03 6.992741e+00 3.454171e+04 9.575510e-01 2.725755e+05 2.169087e+01 -1.523301e-02 7.652963e+00 1.344991e-05 1.558666e-04
1.905461e-03 6.941199e+00 3.361694e+04 9.434327e-01 2.881139e+05 2.292737e+01 1.155208e-01 2.228565e+01 1.355499e-05 1.598902e-04
1.949845e-03 6.876329e+00 3.271844e+04 1.017096e+00 3.151801e+05 2.508123e+01 8.321247e-02 1.282218e+01 1.308873e-05 1.824754e-04
1.995262e-03 6.817405e+00 3.183983e+04 9.837821e-01 2.991069e+05 2.380217e+01 -8.657372e-02 5.803907e+00 1.344984e-05 1.752400e-04
2.041738e-03 6.748504e+00 3.098506e+04 9.936157e-01 2.909459e+05 2.315274e+01 6.514549e-02 1.532313e+01 1.349204e-05 1.786228e-04
2.089296e-03 6.688644e+00 3.016857e+04 9.904876e-01 2.817893e+05 2.242408e+01 4.472055e-03 9.052113e+00 1.334740e-05 1.732945e-04
2.137962e-03 6.624579e+00 2.937134e+04 1.026773e+00 2.898165e+05 2.306286e+01 8.888081e-02 9.002814e+00 1.416395e-05 1.897156e-04
2.187762e-03 6.562871e+00 2.859567e+04 1.028645e+00 2.821722e+05 2.245455e+01 -4.016075e-03 1.022196e+01 1.285846e-05 1.814154e-04
2.238721e-03 6.496039e+00 2.784467e+04 9.973791e-01 2.704740e+05 2.152364e+01 -4.366923e-04 5.654201e+00 1.277617e-05 1.810788e-04
2.290868e-03 6.438047e+00 2.713085e+04 1.010215e+00 2.744922e+05 2.184340e+01 5.490610e-02 1.144180e+01 1.349887e-05 1.829642e-04
2.344229e-03 6.372932e+00 2.641672e+04 1.010601e+00 2.688912e+05 2.139768e+01 -2.392673e-02 7.153506e+00 1.346323e-05 1.822104e-04
2.398833e-03 6.305568e+00 2.573784e+04 9.824001e-01 2.525498e+05 2.009728e+01 -1.741997e-02 9.616192e+00 1.296267e-05 1.739261e-04
