#./double_munderdamped_3d --dev=1 --amp=250.0 --omega=1 --mass=0.0 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=10000 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=50.0 --zeta=0.02 --comp=0 --mean=1.0 --second=2.0 --skew=0.99 --distribution=s>> 1D_double_g:-3:0:300:1_2.0_50.0_0.99_1.0_250.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 8.500465e+00 7.841503e+04 9.768195e-01 3.720600e+05 2.960759e+01 -3.277395e-02 5.538145e+01 1.215551e-05 1.361605e-04
1.023293e-03 8.428147e+00 7.589396e+04 1.114215e+00 3.948329e+05 3.141980e+01 -8.955507e-02 3.553630e+01 1.283650e-05 1.586535e-04
1.047129e-03 8.355061e+00 7.350027e+04 1.038700e+00 3.772407e+05 3.001986e+01 -8.868789e-02 2.254503e+01 1.307733e-05 1.480441e-04
1.071519e-03 8.290342e+00 7.118711e+04 1.036642e+00 3.968543e+05 3.158066e+01 -1.035460e-01 1.067746e+01 1.396469e-05 1.561740e-04
1.096478e-03 8.214148e+00 6.895779e+04 1.045686e+00 3.633212e+05 2.891218e+01 -6.597385e-02 1.446713e+01 1.285255e-05 1.472585e-04
1.122018e-03 8.145484e+00 6.683797e+04 1.022195e+00 3.810440e+05 3.032252e+01 -4.428636e-02 1.908369e+01 1.304807e-05 1.550455e-04
1.148154e-03 8.076916e+00 6.478821e+04 1.040818e+00 3.441526e+05 2.738679e+01 -5.492695e-02 2.145912e+01 1.341404e-05 1.465760e-04
1.174898e-03 7.997555e+00 6.280075e+04 1.068659e+00 3.721970e+05 2.961850e+01 4.580672e-03 9.511057e+00 1.252517e-05 1.593024e-04
1.202264e-03 7.928307e+00 6.090283e+04 1.065755e+00 3.440544e+05 2.737898e+01 4.561977e-02 8.066596e+00 1.202964e-05 1.521230e-04
1.230269e-03 7.857851e+00 5.907882e+04 1.065164e+00 3.491541e+05 2.778480e+01 -3.844841e-02 1.839382e+01 1.256666e-05 1.542225e-04
1.258925e-03 7.794015e+00 5.733358e+04 1.021413e+00 3.302041e+05 2.627680e+01 -2.805726e-02 1.088347e+01 1.232019e-05 1.510227e-04
1.288250e-03 7.720355e+00 5.563470e+04 1.052970e+00 3.656432e+05 2.909696e+01 1.721422e-02 1.792491e+01 1.352219e-05 1.688331e-04
1.318257e-03 7.646601e+00 5.401023e+04 1.041752e+00 3.549058e+05 2.824250e+01 -8.409803e-02 1.065089e+01 1.337535e-05 1.671328e-04
1.348963e-03 7.576788e+00 5.243355e+04 9.975095e-01 3.314755e+05 2.637798e+01 -5.336832e-02 1.969204e+01 1.268324e-05 1.580451e-04
1.380384e-03 7.507356e+00 5.091707e+04 9.984789e-01 2.991570e+05 2.380615e+01 -1.114066e-02 1.327152e+01 1.294588e-05 1.480502e-04
